family,direction,setup_i,trigger_i,entry_i,entry_ts,setup_ts,origin,invalidation,delay,chase_atr,reason,level,+2_before_-1,mfe_15m,mae_15m,gross_R,cost_R,net_R
C,SHORT,2138518,2138520,2138521,2023-11-01 05:58:00-05:00,2023-11-01 05:55:00-05:00,14436.25,14438.25,3,0.1627906976744186,C_HOLD_SHORT,range_lo_10,False,1.391812865497076,2.374269005847953,-1.0,0.4386817936250537,-1.4386817936250538
C,LONG,2460828,2460829,2460830,2024-09-30 10:05:00-05:00,2024-09-30 10:03:00-05:00,20189.0,20190.0,2,1.246422893481717,C_HOLD_LONG,range_hi_10,False,1.0702028081123245,2.8174726989079564,-1.0,0.05341753831984615,-1.053417538319846
C,SHORT,1896637,1896644,1896645,2023-02-27 17:58:00-06:00,2023-02-27 17:50:00-06:00,12093.75,12097.75,8,0.2916666666666667,C_HOLD_SHORT,range_lo_10,False,0.7608695652173914,7.4565217391304355,-1.0,0.2023928215353586,-1.2023928215353585
C,SHORT,355807,355811,355812,2018-10-08 23:50:00-05:00,2018-10-08 23:45:00-05:00,7391.25,7391.25,5,0.6363636363636364,C_HOLD_SHORT,range_lo_10,False,6.0,1.0,2.4666666666647266,1.5675675675688006,0.899099099095926
C,SHORT,1357789,1357808,1357809,2021-08-20 00:00:00-05:00,2021-08-19 23:40:00-05:00,14920.0,14920.5,20,0.14583333333333334,C_HOLD_SHORT,range_lo_10,True,13.725490196078432,0.0,2.0,0.8619957537159251,1.138004246284075
C,LONG,1005456,1005457,1005458,2020-08-19 13:48:00-05:00,2020-08-19 13:46:00-05:00,11360.75,11359.0,2,0.2978723404255319,C_HOLD_LONG,range_hi_10,True,2.2452830188679247,0.8188679245283019,-1.0,0.1388034188034326,-1.1388034188034326
C,LONG,2703175,2703182,2703183,2025-06-09 09:40:00-05:00,2025-06-09 09:32:00-05:00,21866.25,21865.25,8,0.8211143695014662,C_HOLD_LONG,range_hi_10,False,0.327007299270073,3.208759124087591,-1.0,0.06243752402921115,-1.0624375240292112
C,LONG,1178591,1178602,1178603,2021-02-17 09:47:00-06:00,2021-02-17 09:35:00-06:00,13610.0,13590.25,12,0.027777777777777776,C_HOLD_LONG,range_hi_10,True,2.8660235798499465,0.25509110396570206,2.0,0.03610012003734467,1.9638998799626552
C,LONG,1952688,1952689,1952690,2023-04-25 17:00:00-05:00,2023-04-25 15:58:00-05:00,12917.25,12914.75,2,7.0,C_HOLD_LONG,range_hi_10,False,9.62214983713355,3.1009771986970684,2.0,0.0284045195368523,1.9715954804631477
C,SHORT,1448897,1448908,1448909,2021-11-22 04:38:00-06:00,2021-11-22 04:26:00-06:00,16639.0,16639.0,12,0.09395973154362416,C_HOLD_SHORT,range_lo_10,True,4.857142857142857,0.7619047619047619,-0.5809523809501635,1.9016393442695534,-2.482591725219717
