family,direction,setup_i,trigger_i,entry_i,entry_ts,setup_ts,origin,invalidation,delay,chase_atr,reason,level,+2_before_-1,mfe_15m,mae_15m,gross_R,cost_R,net_R
D,SHORT,2185446,2185451,2185452,2023-12-19 14:00:00-06:00,2023-12-19 13:54:00-06:00,16999.5,17002.25,6,0.21212121212121213,D_RETEST_SHORT,fail_hi_10,False,4.220095693779904,1.2727272727272727,-1.0,0.3315639036343413,-1.3315639036343412
D,LONG,2499240,2499243,2499244,2024-11-07 06:21:00-06:00,2024-11-07 06:17:00-06:00,20957.75,20953.75,4,0.33793103448275863,D_RETEST_LONG,fail_lo_10,True,3.463917525773196,0.48109965635738833,2.0,0.120635863913231,1.879364136086769
D,SHORT,1936382,1936405,1936406,2023-04-09 21:33:00-05:00,2023-04-09 21:09:00-05:00,13143.0,13143.0,24,1.781818181818182,D_RETEST_SHORT,fail_hi_10,False,4.212389380530974,1.1150442477876106,2.0,0.20133895363253743,1.7986610463674626
D,LONG,337531,337534,337535,2018-09-19 13:10:00-05:00,2018-09-19 13:06:00-05:00,7501.75,7500.75,4,0.0,D_RETEST_LONG,fail_lo_10,True,4.139130434782609,0.6086956521739131,-1.0,0.6574898785425876,-1.6574898785425876
D,SHORT,1387651,1387657,1387658,2021-09-20 19:44:00-05:00,2021-09-20 19:37:00-05:00,15058.5,15059.75,7,0.4765957446808511,D_RETEST_SHORT,fail_hi_10,True,5.393939393939394,0.36363636363636365,2.0,0.20976491862572227,1.7902350813742778
D,SHORT,1025917,1025920,1025921,2020-09-09 18:37:00-05:00,2020-09-09 18:33:00-05:00,11438.5,11439.75,4,0.06451612903225806,D_RETEST_SHORT,fail_hi_10,True,3.184834123222749,0.0,2.0,0.4294024325754759,1.570597567424524
D,LONG,2724894,2724896,2724897,2025-07-01 07:45:00-05:00,2025-07-01 07:42:00-05:00,22780.25,22778.5,3,0.4454545454545455,D_RETEST_LONG,fail_lo_10,True,2.3066361556064074,0.19221967963386727,2.0,0.12854202944433044,1.8714579705556695
D,LONG,1208302,1208304,1208305,2021-03-19 04:26:00-05:00,2021-03-19 04:23:00-05:00,12877.0,12877.75,3,0.7553956834532374,D_RETEST_LONG,fail_lo_10,False,0.597864768683274,4.0355871886121,-1.0,0.22301565503985632,-1.2230156550398563
D,SHORT,1992400,1992402,1992403,2023-06-05 14:56:00-05:00,2023-06-05 14:53:00-05:00,14591.75,14592.75,3,0.08076923076923076,D_RETEST_SHORT,fail_hi_10,,0.9596774193548386,0.564516129032258,-0.3129032258068271,1.0463917525760638,-1.359294978382891
D,LONG,1481321,1481323,1481324,2021-12-27 00:42:00-06:00,2021-12-27 00:39:00-06:00,16324.5,16324.25,3,0.09859154929577466,D_RETEST_LONG,fail_lo_10,True,1.4736842105263157,0.5263157894736842,-1.0,1.1717171717178607,-2.1717171717178605
