config_id,split,runner_fraction,protection_R,runner_target_R,max_hold,N,AvgR,PF,TotalR,MaxDD,incremental_AvgR,incremental_TotalR,damage_rate_lt2R,runner_target_hit,cost,optional,train_inc_AvgR,validation_inc_AvgR,exposed_holdout_inc_AvgR,KEEP_REJECT,reason
80/20_1.5R_4R_h60,80/20,0.2,1.5,4.0,60,36174,-0.010213922869419832,0.9855685967669808,-369.47844587839296,602.0425969259943,-0.02620595746150249,-947.9743052123911,0.0,0.2160659509202454,1.5x RT partial,False,-0.02674216644485375,-0.025345947525570546,-0.025457414560578095,REJECT,selected
80/20_1.5R_5R_h60,80/20,0.2,1.5,5.0,60,36174,-0.009844001362380441,0.986091264355223,-356.0969052827501,603.7621815862803,-0.0258360359544631,-934.5927646167482,0.0,0.1530866564417178,1.5x RT partial,False,-0.02711024786950949,-0.0244241431606164,-0.02342546912091978,REJECT,
80/20_1.5R_7R_h60,80/20,0.2,1.5,7.0,60,36174,-0.00912640664119157,0.98710516458844,-330.1386338384639,583.6713049697499,-0.02511844123327423,-908.634493172462,0.0,0.08876533742331288,1.5x RT partial,False,-0.026117497196407574,-0.024204689241140685,-0.0230351634225265,REJECT,
80/20_2R_4R_h60,80/20,0.2,2.0,4.0,60,36174,-0.00663333308590777,0.9906276652207476,-239.9541910496277,493.3651998468788,-0.022625367677990428,-818.4500503836259,0.0,0.053489263803680985,1.5x RT partial,False,-0.022298496029783958,-0.023019482509615122,-0.023211822611766346,REJECT,
80/20_2R_5R_h60,80/20,0.2,2.0,5.0,60,36174,-0.006294049864361403,0.9911070435206362,-227.6809597934094,483.5989972268628,-0.02228608445644406,-806.1768191274075,0.0,0.03690567484662577,1.5x RT partial,False,-0.02200515346443114,-0.022826048427846184,-0.022588874631641585,REJECT,
80/20_2R_7R_h60,80/20,0.2,2.0,7.0,60,36174,-0.005664224214237326,0.9919969335305413,-204.897646725821,468.97927196453236,-0.021656258806319984,-783.3935060598192,0.0,0.02204754601226994,1.5x RT partial,False,-0.021417460397191848,-0.022513065023427266,-0.021515814810597226,REJECT,
75/25_1.5R_4R_h60,75/25,0.25,1.5,4.0,60,36174,-0.016763225545752228,0.9763149898007268,-606.392920892041,787.9191413864137,-0.03275526013783489,-1184.8887802260392,0.0,0.2160659509202454,1.5x RT partial,False,-0.033424969193785146,-0.03168084643332575,-0.031820639239670295,REJECT,
75/25_1.5R_5R_h60,75/25,0.25,1.5,5.0,60,36174,-0.016300823661953,0.9769683242860298,-589.6659951474877,790.0686222117706,-0.03229285825403566,-1168.161854481486,0.0,0.1530866564417178,1.5x RT partial,False,-0.03388507097460483,-0.03052859097713309,-0.029280707440097396,REJECT,
75/25_1.5R_7R_h60,75/25,0.25,1.5,7.0,60,36174,-0.015403830260466917,0.9782356995775505,-557.2181558421303,764.9550264411089,-0.031395864852549575,-1135.7140151761284,0.0,0.08876533742331288,1.5x RT partial,False,-0.03264413263322744,-0.030254273577788447,-0.02879282531710582,REJECT,
75/25_2R_4R_h60,75/25,0.25,2.0,4.0,60,36174,-0.01228748831636218,0.9826388253679357,-444.4876023560855,652.0723950375254,-0.02827952290844484,-1022.9834616900837,0.0,0.053489263803680985,1.5x RT partial,False,-0.02787038117494793,-0.0287727651633815,-0.029013649303655638,REJECT,
