trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r,net_r,hold_minutes,entry_i,m0_gross,attribution
P60-000247,,2017-10-24 15:38:00-05:00,6075.5,SHORT,1.4821428571428572,6076.982142857143,6071.794642857143,22662.0,0.8433734939759036,FAIL,22662,22662,6075.25,T5_NO_PROGRESS,0.1686746987951807,0.16855533793437136,15,22647,2.5,KILLED_WINNER
P60-000711,,2017-12-04 15:03:00-06:00,6263.25,SHORT,4.125,6267.375,6252.9375,61471.0,0.7878787878787878,FAIL,61471,61471,6255.75,T5_NO_PROGRESS,1.8181818181818181,1.818065987294913,15,61456,2.5,KILLED_WINNER
P60-001443,,2018-02-08 13:34:00-06:00,6439.5,SHORT,10.910714285714286,6450.410714285715,6412.223214285715,123405.0,0.6873977086743044,FAIL,123405,123405,6437.25,T5_NO_PROGRESS,0.20621931260229132,0.20610653513778426,15,123390,2.5,KILLED_WINNER
P60-001619,,2018-02-27 02:35:00-06:00,6986.25,SHORT,2.875,6989.125,6979.0625,140246.0,0.34782608695652173,FAIL,140246,140246,6985.25,T5_NO_PROGRESS,0.34782608695652173,0.3477222689602091,15,140231,2.5,KILLED_WINNER
P60-001793,,2018-03-13 15:44:00-05:00,7072.75,SHORT,1.3928571428571428,7074.142857142857,7069.267857142857,154648.0,0.8974358974358975,FAIL,154648,154648,7070.75,T5_NO_PROGRESS,1.435897435897436,1.4357949096092917,15,154633,2.5,KILLED_WINNER
P60-001835,,2018-03-16 15:11:00-05:00,7044.5,SHORT,3.1964285714285716,7047.696428571428,7036.508928571428,158724.0,0.547486033519553,FAIL,158724,158724,7043.0,T5_NO_PROGRESS,0.4692737430167597,0.4691707791276665,15,158709,2.5,KILLED_WINNER
P60-002212,,2018-04-22 17:40:00-05:00,6696.25,SHORT,3.0,6699.25,6688.75,191530.0,0.75,FAIL,191530,191530,6695.5,T5_NO_PROGRESS,0.25,0.24989168191835057,15,191515,2.5,KILLED_WINNER
P60-002372,,2018-05-08 02:33:00-05:00,6826.0,SHORT,1.9464285714285714,6827.946428571428,6821.133928571428,207023.0,0.6422018348623854,FAIL,207023,207023,6826.75,T5_NO_PROGRESS,-0.3853211009174312,-0.38542734275630475,15,207008,2.5,KILLED_WINNER
P60-002453,,2018-05-15 13:58:00-05:00,6874.75,SHORT,4.607142857142857,6879.357142857143,6863.232142857143,214506.0,0.3798449612403101,FAIL,214506,214506,6871.5,T5_NO_PROGRESS,0.7054263565891473,0.7053208274880681,15,214491,2.5,KILLED_WINNER
P60-002488,,2018-05-18 02:31:00-05:00,6925.0,SHORT,3.7142857142857144,6928.714285714285,6915.714285714285,217893.0,0.8076923076923077,FAIL,217893,217893,6923.0,T5_NO_PROGRESS,0.5384615384615384,0.538356789137507,15,217878,2.5,KILLED_WINNER
P60-002503,,2018-05-21 00:06:00-05:00,6926.0,SHORT,0.5892857142857143,6926.589285714285,6924.526785714285,219102.0,0.8484848484848485,FAIL,219102,219102,6926.0,T5_NO_PROGRESS,-0.0,-0.0001046869319251308,15,219087,2.5,KILLED_WINNER
