trade_id,entry_time,direction,entry_price,initial_atr,t5_time,mfe_at_t5_r,t5_result,exit_reason,gross_r
P60-000001,2017-10-01 19:03:00-05:00,SHORT,5992.75,0.4642857142857143,,,,M0_STOP,-1.0
P60-000002,2017-10-01 21:16:00-05:00,SHORT,5990.25,0.3392857142857143,,,,M0_TARGET,2.5
P60-000003,2017-10-01 22:17:00-05:00,LONG,5991.0,0.32142857142857145,,,,M0_STOP,-1.0
P60-000004,2017-10-01 22:46:00-05:00,LONG,5992.25,0.5892857142857143,,,,M0_STOP,-1.0
P60-000005,2017-10-01 23:06:00-05:00,SHORT,5990.0,0.35714285714285715,,,,M0_STOP,-1.0
P60-000006,2017-10-02 00:37:00-05:00,LONG,5992.25,0.35714285714285715,,,,M0_STOP,-1.0
P60-000007,2017-10-02 01:12:00-05:00,LONG,5991.5,0.5178571428571429,,,,M0_STOP,-1.0
P60-000008,2017-10-02 01:37:00-05:00,SHORT,5989.5,0.21428571428571427,,,,M0_STOP,-1.0
P60-000009,2017-10-02 02:30:00-05:00,SHORT,5988.25,0.625,568.0,1.6,PASS,M0_TARGET,2.5
P60-000010,2017-10-02 03:45:00-05:00,SHORT,5985.5,0.5535714285714286,,,,M0_TARGET,2.5
P60-000011,2017-10-02 06:38:00-05:00,LONG,5997.5,0.7321428571428571,,,,M0_STOP,-1.0
P60-000012,2017-10-02 13:34:00-05:00,LONG,5986.5,1.7321428571428572,,,,M0_STOP,-1.0
P60-000013,2017-10-02 14:19:00-05:00,SHORT,5978.5,1.5357142857142858,,,,M0_STOP,-1.0
P60-000014,2017-10-02 14:33:00-05:00,LONG,5981.75,1.5535714285714286,,,,M0_STOP,-1.0
P60-000015,2017-10-02 19:08:00-05:00,SHORT,5981.75,0.3392857142857143,,,,M0_STOP,-1.0
P60-000016,2017-10-02 23:14:00-05:00,LONG,5994.75,0.3392857142857143,,,,M0_STOP,-1.0
P60-000017,2017-10-03 00:10:00-05:00,LONG,5994.0,0.3392857142857143,,,,M0_STOP,-1.0
P60-000018,2017-10-03 02:51:00-05:00,SHORT,5990.25,0.8035714285714286,,,,M0_TARGET,2.5
P60-000019,2017-10-03 04:21:00-05:00,SHORT,5988.25,0.625,,,,M0_STOP,-1.0
P60-000020,2017-10-03 06:36:00-05:00,SHORT,5983.5,0.44642857142857145,,,,M0_STOP,-1.0
P60-000021,2017-10-03 08:10:00-05:00,LONG,5991.75,0.625,,,,M0_STOP,-1.0
P60-000022,2017-10-03 10:08:00-05:00,SHORT,5991.75,2.142857142857143,,,,M0_STOP,-1.0
P60-000023,2017-10-03 10:19:00-05:00,LONG,5992.0,2.2142857142857144,2380.0,2.032258064516129,PASS,M0_STOP,-1.0
P60-000024,2017-10-03 15:31:00-05:00,LONG,5998.0,0.9107142857142857,2677.0,1.6470588235294117,PASS,M0_STOP,-1.0
