trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i
P60-000112,,2017-10-10 12:46:00-05:00,6057.0,SHORT,2.4285714285714284,6059.428571428572,6050.928571428572,9155.0,0.5147058823529412,FAIL,9155,9155,6057.5,T5_NO_PROGRESS,-0.2058823529411765,-0.20600209717221796,15,9140,-0.2058823529411765,0.5147058823529412,9155.0
P60-000175,,2017-10-17 10:51:00-05:00,6113.0,SHORT,1.0892857142857142,6114.089285714285,6110.276785714285,15686.0,0.6885245901639345,FAIL,15686,15686,6111.5,T5_NO_PROGRESS,1.377049180327869,1.3769305594850767,15,15671,1.377049180327869,0.6885245901639345,15686.0
P60-000247,,2017-10-24 15:38:00-05:00,6075.5,SHORT,1.4821428571428572,6076.982142857143,6071.794642857143,22662.0,0.8433734939759036,FAIL,22662,22662,6075.25,T5_NO_PROGRESS,0.1686746987951807,0.16855533793437136,15,22647,0.1686746987951807,0.8433734939759036,22662.0
P60-000286,,2017-10-27 06:19:00-05:00,6114.0,SHORT,0.7857142857142857,6114.785714285715,6112.035714285715,26178.0,0.3181818181818182,FAIL,26178,26178,6114.0,T5_NO_PROGRESS,-0.0,-0.00011859554828533037,15,26163,-0.0,0.3181818181818182,26178.0
P60-000427,,2017-11-08 22:05:00-06:00,6344.25,SHORT,0.5714285714285714,6344.821428571428,6342.821428571428,37864.0,0.875,FAIL,37864,37864,6344.25,T5_NO_PROGRESS,-0.0,-0.00011428700112035039,15,37849,-0.0,0.875,37864.0
P60-000446,,2017-11-09 20:21:00-06:00,6311.0,SHORT,1.0357142857142858,6312.035714285715,6308.410714285715,39124.0,0.7241379310344827,FAIL,39124,39124,6310.25,T5_NO_PROGRESS,0.7241379310344827,0.7240230333952612,15,39109,0.7241379310344827,0.7241379310344827,39124.0
P60-000550,,2017-11-20 01:12:00-06:00,6303.75,LONG,1.5535714285714286,6302.196428571428,6307.633928571428,47564.0,0.6436781609195402,FAIL,47564,47564,6303.25,T5_NO_PROGRESS,-0.3218390804597701,-0.3219541197176252,15,47549,-0.3218390804597701,0.6436781609195402,47564.0
P60-000606,,2017-11-23 19:47:00-06:00,6386.5,LONG,0.75,6385.75,6388.375,52389.0,0.6666666666666666,FAIL,52389,52389,6386.25,T5_NO_PROGRESS,-0.3333333333333333,-0.33344686737397067,15,52374,-0.3333333333333333,0.6666666666666666,52389.0
P60-000681,,2017-11-30 15:04:00-06:00,6356.5,SHORT,4.482142857142857,6360.982142857143,6345.294642857143,58745.0,0.6135458167330677,FAIL,58745,58745,6354.75,T5_NO_PROGRESS,0.39043824701195223,0.39032411005322426,15,58730,0.39043824701195223,0.6135458167330677,58745.0
P60-000694,,2017-12-01 11:24:00-06:00,6300.25,SHORT,7.5,6307.75,6281.5,59889.0,0.8666666666666667,FAIL,59889,59889,6290.5,T5_NO_PROGRESS,1.3,1.2998847880497397,15,59874,1.3,0.8666666666666667,59889.0
P60-000711,,2017-12-04 15:03:00-06:00,6263.25,SHORT,4.125,6267.375,6252.9375,61471.0,0.7878787878787878,FAIL,61471,61471,6255.75,T5_NO_PROGRESS,1.8181818181818181,1.818065987294913,15,61456,1.8181818181818181,0.7878787878787878,61471.0
P60-000805,,2017-12-12 02:27:00-06:00,6417.5,SHORT,1.0892857142857142,6418.589285714285,6414.776785714285,68834.0,0.918032786885246,FAIL,68834,68834,6418.25,T5_NO_PROGRESS,-0.6885245901639345,-0.6886375816840045,15,68819,-0.6885245901639345,0.918032786885246,68834.0
P60-000878,,2017-12-19 05:11:00-06:00,6538.5,SHORT,0.875,6539.375,6536.3125,75766.0,0.5714285714285714,FAIL,75766,75766,6538.5,T5_NO_PROGRESS,-0.0,-0.00011089654117512094,15,75751,-0.0,0.5714285714285714,75766.0
P60-000939,,2017-12-22 11:40:00-06:00,6477.75,SHORT,1.3035714285714286,6479.053571428572,6474.491071428572,80185.0,0.958904109589041,FAIL,80185,80185,6479.0,T5_NO_PROGRESS,-0.958904109589041,-0.9590160536941913,15,80170,-0.958904109589041,0.958904109589041,80185.0
P60-001135,,2018-01-12 05:24:00-06:00,6734.0,SHORT,0.5714285714285714,6734.571428571428,6732.571428571428,97242.0,0.875,FAIL,97242,97242,6733.5,T5_NO_PROGRESS,0.875,0.8748923282556117,15,97227,0.875,0.875,97242.0
P60-001193,,2018-01-18 02:15:00-06:00,6812.0,SHORT,2.232142857142857,6814.232142857143,6806.419642857143,102275.0,0.224,FAIL,102275,102275,6811.75,T5_NO_PROGRESS,0.112,0.11189353528413755,15,102260,0.112,0.224,102275.0
P60-001198,,2018-01-18 15:33:00-06:00,6812.25,SHORT,2.517857142857143,6814.767857142857,6805.955357142857,103058.0,0.9929078014184397,FAIL,103058,103058,6813.25,T5_NO_PROGRESS,-0.3971631205673759,-0.39726958584160266,15,103043,-0.3971631205673759,0.9929078014184397,103058.0
P60-001307,,2018-01-29 11:34:00-06:00,7007.5,SHORT,2.625,7010.125,7000.9375,112368.0,0.9523809523809523,FAIL,112368,112368,7006.5,T5_NO_PROGRESS,0.38095238095238093,0.38084888160371305,15,112353,0.38095238095238093,0.9523809523809523,112368.0
P60-001311,,2018-01-29 15:00:00-06:00,6992.75,SHORT,6.142857142857143,6998.892857142857,6977.392857142857,112574.0,0.1627906976744186,FAIL,112574,112574,6992.25,T5_NO_PROGRESS,0.0813953488372093,0.08129157886915818,15,112559,0.0813953488372093,0.1627906976744186,112574.0
P60-001331,,2018-01-30 17:23:00-06:00,6948.25,LONG,1.8571428571428572,6946.392857142857,6952.892857142857,114007.0,0.40384615384615385,FAIL,114007,114007,6947.5,T5_NO_PROGRESS,-0.40384615384615385,-0.4039505245627128,15,113992,-0.40384615384615385,0.40384615384615385,114007.0
P60-001443,,2018-02-08 13:34:00-06:00,6439.5,SHORT,10.910714285714286,6450.410714285715,6412.223214285715,123405.0,0.6873977086743044,FAIL,123405,123405,6437.25,T5_NO_PROGRESS,0.20621931260229132,0.20610653513778426,15,123390,0.20621931260229132,0.6873977086743044,123405.0
P60-001500,,2018-02-14 04:57:00-06:00,6588.75,SHORT,1.9642857142857142,6590.714285714285,6583.839285714285,128345.0,0.5090909090909091,FAIL,128345,128345,6588.5,T5_NO_PROGRESS,0.1272727272727273,0.12716265841191288,15,128330,0.1272727272727273,0.5090909090909091,128345.0
P60-001544,,2018-02-19 08:40:00-06:00,6787.0,SHORT,3.7142857142857144,6790.714285714285,6777.714285714285,132649.0,0.3365384615384615,FAIL,132649,132649,6787.0,T5_NO_PROGRESS,-0.0,-0.00010688035718046459,15,132634,-0.0,0.3365384615384615,132649.0
P60-001549,,2018-02-19 19:53:00-06:00,6766.75,SHORT,3.1785714285714284,6769.928571428572,6758.803571428572,133021.0,0.550561797752809,FAIL,133021,133021,6765.0,T5_NO_PROGRESS,0.550561797752809,0.5504546058634859,15,133006,0.550561797752809,0.550561797752809,133021.0
P60-001619,,2018-02-27 02:35:00-06:00,6986.25,SHORT,2.875,6989.125,6979.0625,140246.0,0.34782608695652173,FAIL,140246,140246,6985.25,T5_NO_PROGRESS,0.34782608695652173,0.3477222689602091,15,140231,0.34782608695652173,0.34782608695652173,140246.0
P60-001728,,2018-03-07 23:38:00-06:00,6928.0,SHORT,1.1071428571428572,6929.107142857143,6925.232142857143,149623.0,0.6774193548387096,FAIL,149623,149623,6928.5,T5_NO_PROGRESS,-0.45161290322580644,-0.45171756775793537,15,149608,-0.45161290322580644,0.6774193548387096,149623.0
P60-001774,,2018-03-12 15:02:00-05:00,7164.5,SHORT,4.375,7168.875,7153.5625,153267.0,0.9714285714285714,FAIL,153267,153267,7164.5,T5_NO_PROGRESS,-0.0,-0.00010125521551648888,15,153252,-0.0,0.9714285714285714,153267.0
P60-001781,,2018-03-12 21:04:00-05:00,7153.5,SHORT,1.2678571428571428,7154.767857142857,7150.330357142857,153550.0,0.7887323943661972,FAIL,153550,153550,7153.0,T5_NO_PROGRESS,0.3943661971830986,0.3942648302272282,15,153535,0.3943661971830986,0.7887323943661972,153550.0
P60-001793,,2018-03-13 15:44:00-05:00,7072.75,SHORT,1.3928571428571428,7074.142857142857,7069.267857142857,154648.0,0.8974358974358975,FAIL,154648,154648,7070.75,T5_NO_PROGRESS,1.435897435897436,1.4357949096092917,15,154633,1.435897435897436,0.8974358974358975,154648.0
P60-001835,,2018-03-16 15:11:00-05:00,7044.5,SHORT,3.1964285714285716,7047.696428571428,7036.508928571428,158724.0,0.547486033519553,FAIL,158724,158724,7043.0,T5_NO_PROGRESS,0.4692737430167597,0.4691707791276665,15,158709,0.4692737430167597,0.547486033519553,158724.0
