trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i,mfe
P60-011183,,2020-07-29 13:11:00-05:00,10636.0,LONG,12.75,10623.25,10667.875,984966.0,0.4901960784313725,FAIL,984966,984966,10637.25,T5_NO_PROGRESS,0.0980392156862745,0.0979709691515511,15,984951,0.0980392156862745,0.4901960784313725,984966.0,0.4901960784313725
P60-031578,,2025-07-21 15:37:00-05:00,23346.5,SHORT,3.017857142857143,23349.51785714286,23338.95535714286,2744236.0,0.4142011834319526,FAIL,2744236,2744236,23344.25,T5_NO_PROGRESS,0.7455621301775148,0.745531072257554,15,2744221,0.7455621301775148,0.4142011834319526,2744236.0,0.4142011834319526
P60-012485,,2020-11-19 17:36:00-06:00,11935.0,SHORT,5.892857142857143,11940.892857142857,11920.267857142857,1095483.0,0.4242424242424242,FAIL,1095483,1095483,11936.0,T5_NO_PROGRESS,-0.1696969696969696,-0.1697577454106352,15,1095468,-0.1696969696969696,0.4242424242424242,1095483.0,0.4242424242424242
P60-035408,,2026-06-22 04:14:00-05:00,30735.75,SHORT,11.196428571428571,30746.946428571428,30707.758928571428,3068876.0,0.2902711323763955,FAIL,3068876,3068876,30731.75,T5_NO_PROGRESS,0.3572567783094099,0.3572331815466997,15,3068861,0.3572567783094099,0.2902711323763955,3068876.0,0.2902711323763955
P60-009332,,2020-01-31 03:02:00-06:00,9181.0,SHORT,4.714285714285714,9185.714285714286,9169.214285714286,813745.0,0.4772727272727272,FAIL,813745,813745,9179.75,T5_NO_PROGRESS,0.2651515151515151,0.2650725071495224,15,813730,0.2651515151515151,0.4772727272727272,813745.0,0.4772727272727272
P60-016616,,2021-11-19 05:47:00-06:00,16530.0,SHORT,6.089285714285714,16536.089285714286,16514.776785714286,1447613.0,0.3284457478005865,FAIL,1447613,1447613,16531.25,T5_NO_PROGRESS,-0.2052785923753665,-0.2053224681873662,15,1447598,-0.2052785923753665,0.3284457478005865,1447613.0,0.3284457478005865
P60-008697,,2019-11-28 17:06:00-06:00,8446.5,LONG,1.625,8444.875,8450.5625,755144.0,0.3076923076923077,FAIL,755144,755144,8446.75,T5_NO_PROGRESS,0.1538461538461538,0.1537603029602615,15,755129,0.1538461538461538,0.3076923076923077,755144.0,0.3076923076923077
P60-029201,,2024-12-17 17:07:00-06:00,21937.5,SHORT,13.339285714285714,21950.839285714286,21904.151785714286,2538018.0,0.0,FAIL,2538018,2538018,21950.0,T5_NO_PROGRESS,-0.9370816599732265,-0.9371147285138856,15,2538003,-0.9370816599732265,0.0,2538018.0,0.0
P60-035542,,2026-07-05 21:12:00-05:00,29776.75,SHORT,17.732142857142858,29794.48214285714,29732.41964285714,3082013.0,0.3947633434038268,FAIL,3082013,3082013,29754.25,T5_NO_PROGRESS,1.268882175226586,1.268857812863437,15,3081998,1.268882175226586,0.3947633434038268,3082013.0,0.3947633434038268
P60-029645,,2025-01-30 15:41:00-06:00,21611.75,SHORT,25.339285714285715,21637.089285714286,21548.401785714286,2578471.0,0.0,FAIL,2578471,2578471,21598.25,T5_NO_PROGRESS,0.5327695560253699,0.5327359700805088,15,2578456,0.5327695560253699,0.0,2578471.0,0.0
P60-017821,,2022-03-07 12:16:00-06:00,13482.0,SHORT,20.285714285714285,13502.285714285714,13431.285714285714,1550550.0,0.0862676056338028,FAIL,1550550,1550550,13488.25,T5_NO_PROGRESS,-0.3080985915492958,-0.3081524479887219,15,1550535,-0.3080985915492958,0.0862676056338028,1550550.0,0.0862676056338028
P60-001544,,2018-02-19 08:40:00-06:00,6787.0,SHORT,3.7142857142857144,6790.714285714285,6777.714285714285,132649.0,0.3365384615384615,FAIL,132649,132649,6787.0,T5_NO_PROGRESS,-0.0,-0.0001068803571804,15,132634,-0.0,0.3365384615384615,132649.0,0.3365384615384615
P60-011873,,2020-09-30 15:05:00-05:00,11365.5,SHORT,17.946428571428573,11383.44642857143,11320.63392857143,1046270.0,0.4039800995024875,FAIL,1046270,1046270,11362.25,T5_NO_PROGRESS,0.181094527363184,0.1810306369399808,15,1046255,0.181094527363184,0.4039800995024875,1046270.0,0.4039800995024875
P60-004910,,2018-12-21 02:31:00-06:00,6290.0,SHORT,5.125,6295.125,6277.1875,427457.0,0.4390243902439024,FAIL,427457,427457,6284.75,T5_NO_PROGRESS,1.024390243902439,1.0242748875906589,15,427442,1.024390243902439,0.4390243902439024,427457.0,0.4390243902439024
P60-013754,,2021-03-17 21:05:00-05:00,13230.75,SHORT,3.892857142857143,13234.642857142857,13221.017857142857,1206514.0,0.4495412844036697,FAIL,1206514,1206514,13229.75,T5_NO_PROGRESS,0.2568807339449541,0.2568259212262433,15,1206499,0.2568807339449541,0.4495412844036697,1206514.0,0.4495412844036697
P60-027228,,2024-06-26 15:12:00-05:00,19950.5,SHORT,20.946428571428573,19971.446428571428,19898.133928571428,2368054.0,0.3341858482523444,FAIL,2368054,2368054,19947.25,T5_NO_PROGRESS,0.155157715260017,0.1551213371245308,15,2368039,0.155157715260017,0.3341858482523444,2368054.0,0.3341858482523444
P60-030071,,2025-03-09 22:22:00-05:00,20111.25,SHORT,8.964285714285714,20120.214285714286,20088.839285714286,2614450.0,0.3625498007968127,FAIL,2614450,2614450,20114.5,T5_NO_PROGRESS,-0.3625498007968127,-0.3625858663472832,15,2614435,-0.3625498007968127,0.3625498007968127,2614450.0,0.3625498007968127
P60-014553,,2021-05-25 15:00:00-05:00,13656.75,LONG,8.767857142857142,13647.982142857143,13678.669642857143,1272650.0,0.1425661914460285,FAIL,1272650,1272650,13657.0,T5_NO_PROGRESS,0.0285132382892057,0.0284601168832417,15,1272635,0.0285132382892057,0.1425661914460285,1272650.0,0.1425661914460285
P60-009865,,2020-03-26 15:02:00-05:00,7859.25,LONG,37.964285714285715,7821.285714285715,7954.160714285715,865525.0,0.1909689557855127,FAIL,865525,865525,7847.5,T5_NO_PROGRESS,-0.3095014111006585,-0.3095941068576586,15,865510,-0.3095014111006585,0.1909689557855127,865525.0,0.1909689557855127
P60-008832,,2019-12-11 15:03:00-06:00,8407.5,LONG,3.9107142857142856,8403.589285714286,8417.276785714286,767171.0,0.0,FAIL,767171,767171,8406.0,T5_NO_PROGRESS,-0.3835616438356165,-0.3836479164954706,15,767156,-0.3835616438356165,0.0,767171.0,0.0
P60-013602,,2021-03-03 15:02:00-06:00,12679.0,SHORT,19.053571428571427,12698.05357142857,12631.36607142857,1192583.0,0.3280224929709466,FAIL,1192583,1192583,12679.5,T5_NO_PROGRESS,-0.0262417994376757,-0.0262990666626273,15,1192568,-0.0262417994376757,0.3280224929709466,1192583.0,0.3280224929709466
P60-008613,,2019-11-21 06:28:00-06:00,8280.0,SHORT,1.5535714285714286,8281.55357142857,8276.11607142857,747984.0,0.4827586206896551,FAIL,747984,747984,8279.5,T5_NO_PROGRESS,0.3218390804597701,0.3217515036413108,15,747969,0.3218390804597701,0.4827586206896551,747984.0,0.4827586206896551
P60-018933,,2022-06-16 04:33:00-05:00,11303.5,SHORT,12.089285714285714,11315.589285714286,11273.276785714286,1649200.0,0.2895125553914328,FAIL,1649200,1649200,11302.75,T5_NO_PROGRESS,0.0620384047267356,0.0619741966292405,15,1649185,0.0620384047267356,0.2895125553914328,1649200.0,0.2895125553914328
P60-030475,,2025-04-16 07:42:00-05:00,18653.5,SHORT,15.839285714285714,18669.339285714286,18613.901785714286,2652260.0,0.363021420518602,FAIL,2652260,2652260,18648.25,T5_NO_PROGRESS,0.3314543404735062,0.331415440741876,15,2652245,0.3314543404735062,0.363021420518602,2652260.0,0.363021420518602
P60-010797,,2020-06-19 13:11:00-05:00,9945.5,SHORT,13.678571428571429,9959.17857142857,9911.30357142857,947089.0,0.3289817232375979,FAIL,947089,947089,9945.25,T5_NO_PROGRESS,0.0182767624020887,0.0182037647142815,15,947074,0.0182767624020887,0.3289817232375979,947089.0,0.3289817232375979
P60-029547,,2025-01-22 13:30:00-06:00,22020.25,SHORT,6.75,22027.0,22003.375,2570060.0,0.925925925925926,FAIL,2570060,2570060,22017.75,T5_NO_PROGRESS,0.3703703703703703,0.3703374360346218,15,2570045,0.3703703703703703,0.925925925925926,2570060.0,0.925925925925926
P60-031285,,2025-06-25 11:29:00-05:00,22437.0,SHORT,7.357142857142857,22444.35714285714,22418.60714285714,2719616.0,0.9174757281553398,FAIL,2719616,2719616,22427.75,T5_NO_PROGRESS,1.2572815533980584,1.2572492301014009,15,2719601,1.2572815533980584,0.9174757281553398,2719616.0,0.9174757281553398
P60-014690,,2021-06-07 05:34:00-05:00,13719.5,LONG,3.6607142857142856,13715.839285714286,13728.651785714286,1284139.0,0.9560975609756098,FAIL,1284139,1284139,13718.5,T5_NO_PROGRESS,-0.2731707317073171,-0.2732235903027626,15,1284124,-0.2731707317073171,0.9560975609756098,1284139.0,0.9560975609756098
P60-019314,,2022-07-20 07:55:00-05:00,12271.75,LONG,8.0,12263.75,12291.75,1682042.0,0.90625,FAIL,1682042,1682042,12269.25,T5_NO_PROGRESS,-0.3125,-0.3125591173172969,15,1682027,-0.3125,0.90625,1682042.0,0.90625
P60-007729,,2019-09-04 09:08:00-05:00,7676.0,SHORT,5.214285714285714,7681.214285714285,7662.964285714285,671726.0,0.910958904109589,FAIL,671726,671726,7675.75,T5_NO_PROGRESS,0.047945205479452,0.0478506910415568,15,671711,0.047945205479452,0.910958904109589,671726.0,0.910958904109589
P60-014133,,2021-04-20 06:03:00-05:00,13850.5,SHORT,6.428571428571429,13856.92857142857,13834.42857142857,1237990.0,0.9333333333333332,FAIL,1237990,1237990,13843.0,T5_NO_PROGRESS,1.1666666666666663,1.166614297679426,15,1237975,1.1666666666666663,0.9333333333333332,1237990.0,0.9333333333333332
P60-001198,,2018-01-18 15:33:00-06:00,6812.25,SHORT,2.517857142857143,6814.767857142857,6805.955357142857,103058.0,0.9929078014184396,FAIL,103058,103058,6813.25,T5_NO_PROGRESS,-0.3971631205673759,-0.3972695858416026,15,103043,-0.3971631205673759,0.9929078014184396,103058.0,0.9929078014184396
