trade_id,instrument,python_signal_time,tv_signal_time,signal_match,python_direction,tv_direction,direction_match,python_entry_time,python_entry_time_ny,python_signal_time_ny,tv_entry_time,entry_time_match,python_entry,tv_entry,entry_price_match,python_atr,tv_atr,atr_match,python_stop,tv_stop,stop_match,python_target,tv_target,target_match,python_t5_time,tv_t5_time,t5_time_match,python_mfe_t5,tv_mfe_t5,mfe_match,python_exit_time,tv_exit_time,exit_time_match,python_reason,tv_reason,ohlc_match,classification,notes,review_window,tv_timezone_note
P60-035500,NQ1! (TV) vs LW continuous (Python),2026-07-01 01:59:00-05:00,,,SHORT,,,2026-07-01 02:00:00-05:00,2026-07-01 03:00:00 EDT,2026-07-01 02:59:00 EDT,,,30391.75,,,8.321428571428571,,,30400.071428571428,,,30370.946428571428,,,,,,,,,3078388,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035516,NQ1! (TV) vs LW continuous (Python),2026-07-02 06:37:00-05:00,,,LONG,,,2026-07-02 06:38:00-05:00,2026-07-02 07:38:00 EDT,2026-07-02 07:37:00 EDT,,,30010.0,,,10.696428571428571,,,29999.303571428572,,,30036.741071428572,,,,,,,,,3080046,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035532,NQ1! (TV) vs LW continuous (Python),2026-07-03 05:08:00-05:00,,,LONG,,,2026-07-03 05:09:00-05:00,2026-07-03 06:09:00 EDT,2026-07-03 06:08:00 EDT,,,29873.25,,,5.357142857142857,,,29867.89285714286,,,29886.64285714286,,,,,,,,,3081351,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035539,NQ1! (TV) vs LW continuous (Python),2026-07-05 18:26:00-05:00,,,LONG,,,2026-07-05 18:27:00-05:00,2026-07-05 19:27:00 EDT,2026-07-05 19:26:00 EDT,,,29984.5,,,9.642857142857142,,,29974.85714285714,,,30008.60714285714,,,,,,,,,3081836,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035542,NQ1! (TV) vs LW continuous (Python),2026-07-05 21:11:00-05:00,,,SHORT,,,2026-07-05 21:12:00-05:00,2026-07-05 22:12:00 EDT,2026-07-05 22:11:00 EDT,,,29776.75,,,17.732142857142858,,,29794.48214285714,,,29732.41964285714,,,3082013.0,,,0.3947633434038268,,,3082013,,,T5_NO_PROGRESS,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035550,NQ1! (TV) vs LW continuous (Python),2026-07-06 05:41:00-05:00,,,LONG,,,2026-07-06 05:42:00-05:00,2026-07-06 06:42:00 EDT,2026-07-06 06:41:00 EDT,,,29878.5,,,7.25,,,29871.25,,,29896.625,,,,,,,,,3082509,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035554,NQ1! (TV) vs LW continuous (Python),2026-07-06 07:35:00-05:00,,,LONG,,,2026-07-06 07:36:00-05:00,2026-07-06 08:36:00 EDT,2026-07-06 08:35:00 EDT,,,29902.5,,,11.428571428571429,,,29891.071428571428,,,29931.071428571428,,,3082637.0,,,1.925,,,3082640,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035557,NQ1! (TV) vs LW continuous (Python),2026-07-06 10:03:00-05:00,,,LONG,,,2026-07-06 10:04:00-05:00,2026-07-06 11:04:00 EDT,2026-07-06 11:03:00 EDT,,,30034.25,,,22.75,,,30011.5,,,30091.125,,,,,,,,,3082773,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035561,NQ1! (TV) vs LW continuous (Python),2026-07-06 17:50:00-05:00,,,SHORT,,,2026-07-06 17:51:00-05:00,2026-07-06 18:51:00 EDT,2026-07-06 18:50:00 EDT,,,29922.5,,,8.571428571428571,,,29931.071428571428,,,29901.071428571428,,,,,,,,,3083181,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035565,NQ1! (TV) vs LW continuous (Python),2026-07-07 03:57:00-05:00,,,SHORT,,,2026-07-07 03:58:00-05:00,2026-07-07 04:58:00 EDT,2026-07-07 04:57:00 EDT,,,29670.25,,,8.196428571428571,,,29678.446428571428,,,29649.758928571428,,,,,,,,,3083786,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035576,NQ1! (TV) vs LW continuous (Python),2026-07-08 07:48:00-05:00,,,LONG,,,2026-07-08 07:49:00-05:00,2026-07-08 08:49:00 EDT,2026-07-08 08:48:00 EDT,,,29190.0,,,13.160714285714286,,,29176.839285714286,,,29222.901785714286,,,,,,,,,3085401,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035581,NQ1! (TV) vs LW continuous (Python),2026-07-08 14:23:00-05:00,,,LONG,,,2026-07-08 14:24:00-05:00,2026-07-08 15:24:00 EDT,2026-07-08 15:23:00 EDT,,,29402.5,,,14.25,,,29388.25,,,29438.125,,,,,,,,,3085795,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035582,NQ1! (TV) vs LW continuous (Python),2026-07-08 18:09:00-05:00,,,LONG,,,2026-07-08 18:10:00-05:00,2026-07-08 19:10:00 EDT,2026-07-08 19:09:00 EDT,,,29449.75,,,7.678571428571429,,,29442.071428571428,,,29468.946428571428,,,,,,,,,3085959,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035583,NQ1! (TV) vs LW continuous (Python),2026-07-08 18:37:00-05:00,,,LONG,,,2026-07-08 18:38:00-05:00,2026-07-08 19:38:00 EDT,2026-07-08 19:37:00 EDT,,,29454.25,,,16.017857142857142,,,29438.23214285714,,,29494.29464285714,,,,,,,,,3085991,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035591,NQ1! (TV) vs LW continuous (Python),2026-07-09 11:56:00-05:00,,,LONG,,,2026-07-09 11:57:00-05:00,2026-07-09 12:57:00 EDT,2026-07-09 12:56:00 EDT,,,29905.25,,,9.642857142857142,,,29895.60714285714,,,29929.35714285714,,,,,,,,,3087024,,,M0_STOP,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035604,NQ1! (TV) vs LW continuous (Python),2026-07-10 10:49:00-05:00,,,LONG,,,2026-07-10 10:50:00-05:00,2026-07-10 11:50:00 EDT,2026-07-10 11:49:00 EDT,,,29912.25,,,28.839285714285715,,,29883.410714285714,,,29984.348214285714,,,,,,,,,3088350,,,M0_TARGET,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035607,NQ1! (TV) vs LW continuous (Python),2026-07-12 17:08:00-05:00,,,SHORT,,,2026-07-12 17:09:00-05:00,2026-07-12 18:09:00 EDT,2026-07-12 18:08:00 EDT,,,29907.25,,,22.214285714285715,,,29929.464285714286,,,29851.714285714286,,,3088670.0,,,1.5530546623794212,,,3088715,,,MAX_HOLD_60M,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
P60-035608,NQ1! (TV) vs LW continuous (Python),2026-07-12 18:20:00-05:00,,,SHORT,,,2026-07-12 18:21:00-05:00,2026-07-12 19:21:00 EDT,2026-07-12 19:20:00 EDT,,,29884.75,,,9.464285714285714,,,29894.214285714286,,,29861.089285714286,,,3088742.0,,,0.2905660377358491,,,3088742,,,T5_NO_PROGRESS,,,,,2026-07-01 to 2026-08-31 Chicago,Navigate TradingView using *_ny columns (America/New_York)
