trade_id,entry_time,direction,entry_price,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_price,exit_reason,gross_r,net_r,hold_minutes
P60-000001,2017-10-01 19:03:00-05:00,SHORT,5992.75,0.4642857142857143,5993.214285714285,5991.589285714285,,,,124,5993.214285714285,M0_STOP,-1.0,-1.0001209888904783,1
P60-000002,2017-10-01 21:16:00-05:00,SHORT,5990.25,0.3392857142857143,5990.589285714285,5989.401785714285,,,,266,5989.401785714285,M0_TARGET,2.5,2.4998789631374185,12
P60-000003,2017-10-01 22:17:00-05:00,LONG,5991.0,0.32142857142857145,5990.678571428572,5991.803571428572,,,,328,5990.678571428572,M0_STOP,-1.0,-1.000121021348643,14
P60-000004,2017-10-01 22:46:00-05:00,LONG,5992.25,0.5892857142857143,5991.660714285715,5993.723214285715,,,,344,5991.660714285715,M0_STOP,-1.0,-1.0001210015110287,1
P60-000005,2017-10-01 23:06:00-05:00,SHORT,5990.0,0.35714285714285715,5990.357142857143,5989.107142857143,,,,373,5990.357142857143,M0_STOP,-1.0,-1.0001210422753564,11
P60-000006,2017-10-02 00:37:00-05:00,LONG,5992.25,0.35714285714285715,5991.892857142857,5993.142857142857,,,,448,5991.892857142857,M0_STOP,-1.0,-1.0001209968230884,5
P60-000007,2017-10-02 01:12:00-05:00,LONG,5991.5,0.5178571428571429,5990.982142857143,5992.794642857143,,,,480,5990.982142857143,M0_STOP,-1.0,-1.0001210152163222,4
P60-000008,2017-10-02 01:37:00-05:00,SHORT,5989.5,0.21428571428571427,5989.714285714285,5988.964285714285,,,,502,5989.714285714285,M0_STOP,-1.0,-1.0001210494931425,1
P60-000009,2017-10-02 02:30:00-05:00,SHORT,5988.25,0.625,5988.875,5986.6875,568.0,1.6,PASS,583,5986.6875,M0_TARGET,2.5,2.4998789169328406,30
P60-000010,2017-10-02 03:45:00-05:00,SHORT,5985.5,0.5535714285714286,5986.053571428572,5984.116071428572,,,,630,5984.116071428572,M0_TARGET,2.5,2.499878862741939,3
P60-000011,2017-10-02 06:38:00-05:00,LONG,5997.5,0.7321428571428571,5996.767857142857,5999.330357142857,,,,801,5996.767857142857,M0_STOP,-1.0,-1.0001208984601824,1
P60-000012,2017-10-02 13:34:00-05:00,LONG,5986.5,1.7321428571428572,5984.767857142857,5990.830357142857,,,,1218,5984.767857142857,M0_STOP,-1.0,-1.0001211408725126,2
P60-000013,2017-10-02 14:19:00-05:00,SHORT,5978.5,1.5357142857142858,5980.035714285715,5974.660714285715,,,,1262,5980.035714285715,M0_STOP,-1.0,-1.0001212990349855,1
P60-000014,2017-10-02 14:33:00-05:00,LONG,5981.75,1.5535714285714286,5980.196428571428,5985.633928571428,,,,1276,5980.196428571428,M0_STOP,-1.0,-1.0001212334759668,1
P60-000015,2017-10-02 19:08:00-05:00,SHORT,5981.75,0.3392857142857143,5982.089285714285,5980.901785714285,,,,1474,5982.089285714285,M0_STOP,-1.0,-1.0001212088643685,7
P60-000016,2017-10-02 23:14:00-05:00,LONG,5994.75,0.3392857142857143,5994.410714285715,5995.598214285715,,,,1709,5994.410714285715,M0_STOP,-1.0,-1.000120946000292,1
P60-000017,2017-10-03 00:10:00-05:00,LONG,5994.0,0.3392857142857143,5993.660714285715,5994.848214285715,,,,1765,5993.660714285715,M0_STOP,-1.0,-1.000120961134532,1
P60-000018,2017-10-03 02:51:00-05:00,SHORT,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572,,,,1928,5988.241071428572,M0_TARGET,2.5,2.4998789537549677,7
P60-000019,2017-10-03 04:21:00-05:00,SHORT,5988.25,0.625,5988.875,5986.6875,,,,2021,5988.875,M0_STOP,-1.0,-1.0001210830671594,10
P60-000020,2017-10-03 06:36:00-05:00,SHORT,5983.5,0.44642857142857145,5983.946428571428,5982.383928571428,,,,2143,5983.946428571428,M0_STOP,-1.0,-1.0001211755822248,1
P60-000021,2017-10-03 08:10:00-05:00,LONG,5991.75,0.625,5991.125,5993.3125,,,,2239,5991.125,M0_STOP,-1.0,-1.0001210123307391,3
P60-000022,2017-10-03 10:08:00-05:00,SHORT,5991.75,2.142857142857143,5993.892857142857,5986.392857142857,,,,2367,5993.892857142857,M0_STOP,-1.0,-1.0001210429970961,13
P60-000024,2017-10-03 15:31:00-05:00,LONG,5998.0,0.9107142857142857,5997.089285714285,6000.276785714285,2677.0,1.6470588235294117,PASS,2691,5997.089285714285,M0_STOP,-1.0,-1.0001208919803357,29
P60-000025,2017-10-03 17:07:00-05:00,SHORT,5996.0,0.9107142857142857,5996.910714285715,5993.723214285715,2713.0,1.3725490196078431,PASS,2758,5994.75,MAX_HOLD_60M,1.3725490196078431,1.3724280872971721,60
P60-000026,2017-10-03 18:43:00-05:00,SHORT,5994.0,0.25,5994.25,5993.375,,,,2792,5994.25,M0_STOP,-1.0,-1.0001209593326381,2
P60-000027,2017-10-03 19:44:00-05:00,SHORT,5993.25,0.26785714285714285,5993.517857142857,5992.580357142857,,,,2851,5993.517857142857,M0_STOP,-1.0,-1.0001209748306799,3
P60-000028,2017-10-03 21:43:00-05:00,LONG,5996.25,0.3392857142857143,5995.910714285715,5997.098214285715,,,,2964,5995.910714285715,M0_STOP,-1.0,-1.0001209157431703,2
P60-000029,2017-10-03 22:42:00-05:00,LONG,5996.75,0.30357142857142855,5996.446428571428,5997.508928571428,,,,3023,5996.446428571428,M0_STOP,-1.0,-1.0001209049407238,8
P60-000030,2017-10-03 23:39:00-05:00,LONG,5996.0,0.125,5995.875,5996.3125,,,,3067,5995.875,M0_STOP,-1.0,-1.000120916463402,1
P60-000031,2017-10-04 00:18:00-05:00,SHORT,5994.75,0.32142857142857145,5995.071428571428,5993.946428571428,,,,3103,5995.071428571428,M0_STOP,-1.0,-1.000120945639999,4
P60-000032,2017-10-04 01:43:00-05:00,LONG,5996.0,0.21428571428571427,5995.785714285715,5996.535714285715,,,,3184,5995.785714285715,M0_STOP,-1.0,-1.0001209182640187,1
