gate_name,known_at_bar_offset,feeds_gate,notes
armed_long,0,armed_long,WATCH→ARMED transition on confirmed bar close (L1110-1123)
armed_short,0,armed_short,WATCH→ARMED transition on confirmed bar close (L1110-1123)
evidence_threshold_long,0,evidence_threshold_long,total >= takeThreshold while ARMED LONG (L1168-1183)
evidence_threshold_short,0,evidence_threshold_short,total >= takeThreshold while ARMED SHORT (L1168-1183)
decide_e_long,0,decide_e_long,f_decideE on ev totals at new opportunity (L1198)
decide_e_short,0,decide_e_short,f_decideE on ev totals at new opportunity (L1198)
p4_keep_long,0,p4_keep_long,not f_p4Abstain LONG (L1217-1225)
p4_keep_short,0,p4_keep_short,not f_p4Abstain SHORT (L1217-1225)
h1_keep_long,0,h1_keep_long,not f_h1Abstain LONG (L1218-1229)
h1_keep_short,0,h1_keep_short,not f_h1Abstain SHORT (L1218-1229)
gate_open,0,gate_open,not posActive and not p58InTrade and p58State!=3 and not p58BlockSignals (L1108 L1658)
not_in_cooldown,0,not_in_cooldown,p58State != 3 (cooldown) at signal eval (L1108)
take_long,0,take_long,Canonical TAKE LONG: pendingTake set barstate.isconfirmed (L1234-1245)
take_short,0,take_short,Canonical TAKE SHORT: pendingTake set barstate.isconfirmed (L1234-1245)
