timestamp,decision,direction,15m_state,5m_state,total_evidence,bar_regime,efficiency
2026-08-24T00:01:00-05:00,PASS,LONG,NEUTRAL,BEARISH,1,CHOP,0.07505285412262157
2026-08-24T00:19:00-05:00,TAKE,SHORT,BEARISH,BEARISH,7,CHOP,0.07065217391304347
2026-08-24T01:43:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.019476158495634655
2026-08-24T01:59:00-05:00,TAKE,SHORT,BEARISH,BEARISH,7,CHOP,0.006980802792321117
2026-08-24T02:06:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.04041204437400951
2026-08-24T02:18:00-05:00,TAKE,SHORT,BULLISH,NEUTRAL,5,CHOP,0.12254516889238021
2026-08-24T03:07:00-05:00,TAKE,LONG,BULLISH,BEARISH,4,UNCERTAIN,0.07302709069493522
2026-08-24T03:44:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,5,CHOP,0.1238390092879257
2026-08-24T04:18:00-05:00,TAKE,SHORT,BEARISH,BEARISH,6,CHOP,0.033751205400192864
2026-08-24T04:33:00-05:00,TAKE,LONG,BULLISH,BEARISH,5,CHOP,0.03477218225419664
2026-08-24T04:53:00-05:00,WAIT,SHORT,BULLISH,NEUTRAL,2,CHOP,0.07659115426105717
2026-08-24T06:16:00-05:00,PASS,LONG,BEARISH,NEUTRAL,0,CHOP,0.112488928255093
2026-08-24T06:49:00-05:00,PASS,SHORT,BULLISH,BULLISH,-2,UNCERTAIN,0.15716096324461343
2026-08-24T07:21:00-05:00,TAKE,LONG,NEUTRAL,NEUTRAL,6,CHOP,0.06150978564771668
2026-08-24T07:31:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.043227665706051875
2026-08-24T07:54:00-05:00,TAKE,LONG,BEARISH,NEUTRAL,5,CHOP,0.01932367149758454
2026-08-24T08:06:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.018706157443491817
2026-08-24T08:53:00-05:00,PASS,LONG,BEARISH,NEUTRAL,1,CHOP,0.19925251109553843
2026-08-24T09:07:00-05:00,WAIT,SHORT,BEARISH,BULLISH,3,CHOP,0.1296732026143791
2026-08-24T09:20:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,3,CHOP,0.00966183574879227
2026-08-24T10:05:00-05:00,TAKE,SHORT,NEUTRAL,BEARISH,5,CHOP,0.050424363454817774
2026-08-24T10:23:00-05:00,TAKE,LONG,BULLISH,BEARISH,6,CHOP,0.048810250152532035
2026-08-24T11:37:00-05:00,WAIT,SHORT,BEARISH,BULLISH,2,CHOP,0.06395348837209303
2026-08-24T12:14:00-05:00,TAKE,LONG,TRANSITION,BULLISH,5,CHOP,0.02830188679245283
2026-08-24T12:21:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,5,UNCERTAIN,0.07676056338028169
2026-08-24T12:55:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,CHOP,0.06770833333333333
2026-08-24T13:05:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,7,CHOP,0.10034904013961606
2026-08-24T13:52:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,6,CHOP,0.14272809394760613
2026-08-24T14:17:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.1257606490872211
2026-08-24T14:25:00-05:00,WAIT,SHORT,BEARISH,BULLISH,3,CHOP,0.004069175991861648
2026-08-24T15:35:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.14858096828046743
2026-08-24T17:41:00-05:00,TAKE,SHORT,BEARISH,BEARISH,7,CHOP,0.03618421052631579
2026-08-24T18:09:00-05:00,TAKE,LONG,BULLISH,NEUTRAL,6,CHOP,0.013544018058690745
2026-08-24T18:34:00-05:00,TAKE,SHORT,BEARISH,NEUTRAL,7,UNCERTAIN,0.12234042553191489
2026-08-24T19:28:00-05:00,WAIT,LONG,BEARISH,NEUTRAL,2,CHOP,0.029344073647871116
