experiment_id,family,hypothesis,parameters,train_result,validation_result,decision,reason
PREVIEW_A_dev,A,upper/lower rejection developing,fixed preregistered,"{'n': 17752, 'family': 'A_UPPER_REJECTION', 'mfe_3m_mean': 0.9699138783127111, 'mae_3m_mean': 0.956641088268309, 'asym_3m': 1.0138743675210817, 'mfe_5m_mean': 1.2547361894391413, 'mae_5m_mean': 1.2302791982811658, 'asym_5m': 1.019879220255162, 'mfe_10m_mean': 1.764832514000814, 'mae_10m_mean': 1.7169253349362832, 'asym_10m': 1.0279028901779872, 'mfe_15m_mean': 2.150470053793685, 'mae_15m_mean': 2.0835621366443546, 'asym_15m': 1.0321122734823198, 'mfe_30m_mean': 3.0150338973788418, 'mae_30m_mean': 2.8885431210095787, 'asym_30m': 1.0437905099803575, 'mfe_60m_mean': 4.137794251267464, 'mae_60m_mean': 3.9000578416326026, 'asym_60m': 1.060957149685591}",NOT_RUN,CONTINUE,path preview only
PREVIEW_A_prior,A,upper/lower rejection prior,fixed preregistered,"{'n': 4840, 'family': 'A_UPPER_REJECTION', 'mfe_3m_mean': 0.9475747842841654, 'mae_3m_mean': 0.9314407172627008, 'asym_3m': 1.017321625222568, 'mfe_5m_mean': 1.2209208495710289, 'mae_5m_mean': 1.1954903278120792, 'asym_5m': 1.0212720430833524, 'mfe_10m_mean': 1.731883276241671, 'mae_10m_mean': 1.6631339169223054, 'asym_10m': 1.0413372360576885, 'mfe_15m_mean': 2.124408769642219, 'mae_15m_mean': 1.9906548026023398, 'asym_15m': 1.067190939817906, 'mfe_30m_mean': 3.00555193602315, 'mae_30m_mean': 2.732938086237491, 'asym_30m': 1.0997511985941013, 'mfe_60m_mean': 4.144320500077632, 'mae_60m_mean': 3.721596015502272, 'asym_60m': 1.1135868812236756}",NOT_RUN,CONTINUE,path preview only
PREVIEW_B_dev,B,upper/lower rejection developing,fixed preregistered,"{'n': 16662, 'family': 'B_LOWER_REJECTION', 'mfe_3m_mean': 0.8999901141503512, 'mae_3m_mean': 0.9424271599230506, 'asym_3m': 0.9549704766826072, 'mfe_5m_mean': 1.1565538754328626, 'mae_5m_mean': 1.2249098284493185, 'asym_5m': 0.9441951142616012, 'mfe_10m_mean': 1.608358638163426, 'mae_10m_mean': 1.728310870515123, 'asym_10m': 0.9305956848399933, 'mfe_15m_mean': 1.9479774653731718, 'mae_15m_mean': 2.1053477825709943, 'asym_15m': 0.9252521039513738, 'mfe_30m_mean': 2.6711071696684883, 'mae_30m_mean': 2.925876774998419, 'asym_30m': 0.912925381032129, 'mfe_60m_mean': 3.58143871752942, 'mae_60m_mean': 3.9967366310378534, 'asym_60m': 0.8960907480659812}",NOT_RUN,CONTINUE,path preview only
PREVIEW_B_prior,B,upper/lower rejection prior,fixed preregistered,"{'n': 4326, 'family': 'B_LOWER_REJECTION', 'mfe_3m_mean': 0.8561300172407541, 'mae_3m_mean': 0.8813332291733473, 'asym_3m': 0.9714033113715311, 'mfe_5m_mean': 1.1026128755014728, 'mae_5m_mean': 1.1342367353298777, 'asym_5m': 0.9721188188996476, 'mfe_10m_mean': 1.5352333826009776, 'mae_10m_mean': 1.6153553110883903, 'asym_10m': 0.9503998111514994, 'mfe_15m_mean': 1.8606528137204186, 'mae_15m_mean': 1.9906653669842804, 'asym_15m': 0.9346888957731646, 'mfe_30m_mean': 2.580050741781279, 'mae_30m_mean': 2.776431189239672, 'asym_30m': 0.9292687503945769, 'mfe_60m_mean': 3.5423483007510383, 'mae_60m_mean': 3.796344860745682, 'asym_60m': 0.933094444969693}",NOT_RUN,CONTINUE,path preview only
RAND_GATE_A,A,randomized direction control UPPER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 10651, 'mfe_3m': 0.9607140524065353, 'mae_3m': 0.9741234883959478, 'asym_3m': 0.9862343571948016, 'mfe_5m': 1.2445453288273223, 'mae_5m': 1.2559187749643779, 'asym_5m': 0.9909441228495225, 'mfe_10m': 1.7523878940867124, 'mae_10m': 1.7474863037407184, 'asym_10m': 1.0028049377757648, 'mfe_15m': 2.1319331661839294, 'mae_15m': 2.1104014517105285, 'asym_15m': 1.0102026628421568, 'mfe_30m': 2.9931689001935973, 'mae_30m': 2.926416488128741, 'asym_30m': 1.0228102911310277, 'mfe_60m': 4.147269545590578, 'mae_60m': 3.956591639138261, 'asym_60m': 1.0481924655974468, 'fp_0.5atr_before_0.5atr': 0.48619847901605484, 'fp_1.0atr_before_1.0atr': 0.49126760563380284, 'fp_1.5atr_before_1.0atr': 0.3939237415477085, 'fp_2.0atr_before_1.0atr': 0.3275197442647612, 'fp_2.5atr_before_1.0atr': 0.2754544598285768, 'fp_3.0atr_before_1.0atr': 0.2388447721686519, 'fp_1.0atr_before_1.5atr': 0.5932394366197183, 'fp_2.0atr_before_1.5atr': 0.4206730769230769, 'fp_2.5atr_before_1.5atr': 0.3629177317050081, 'n_long': 0, 'n_short': 10651}","{'n': 3550, 'mfe_3m': 0.9886892393188083, 'mae_3m': 0.9325825414457217, 'asym_3m': 1.0601627152338795, 'mfe_5m': 1.2754173640544166, 'mae_5m': 1.2034356142325497, 'asym_5m': 1.0598135446305292, 'mfe_10m': 1.7771892463137262, 'mae_10m': 1.694003135997688, 'asym_10m': 1.049106231593276, 'mfe_15m': 2.1704080408976667, 'mae_15m': 2.064944678798912, 'asym_15m': 1.0510732143003938, 'mfe_30m': 3.0598235749607987, 'mae_30m': 2.8691240643418725, 'asym_30m': 1.0664661082415303, 'mfe_60m': 4.142334933176179, 'mae_60m': 3.8638784312026244, 'asym_60m': 1.0720665794567676, 'fp_0.5atr_before_0.5atr': 0.5035211267605634, 'fp_1.0atr_before_1.0atr': 0.5052112676056338, 'fp_1.5atr_before_1.0atr': 0.4005353620738236, 'fp_2.0atr_before_1.0atr': 0.3400564174894217, 'fp_2.5atr_before_1.0atr': 0.28422241038667795, 'fp_3.0atr_before_1.0atr': 0.24858356940509915, 'fp_1.0atr_before_1.5atr': 0.5987602141448295, 'fp_2.0atr_before_1.5atr': 0.4312341146568766, 'fp_2.5atr_before_1.5atr': 0.36936170212765956, 'n_long': 0, 'n_short': 3550}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.0027416854750871855
RAND_GATE_B,B,randomized direction control LOWER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 9997, 'mfe_3m': 0.9065659791345432, 'mae_3m': 0.9549198605966147, 'asym_3m': 0.9493634141907353, 'mfe_5m': 1.1667401226566767, 'mae_5m': 1.2400251743022759, 'asym_5m': 0.9409003517312989, 'mfe_10m': 1.6222350643752963, 'mae_10m': 1.7460045427879642, 'asym_10m': 0.9291127397555125, 'mfe_15m': 1.9618289313869473, 'mae_15m': 2.129866837680094, 'asym_15m': 0.9211040318012661, 'mfe_30m': 2.6886115297849074, 'mae_30m': 2.974280560604683, 'asym_30m': 0.9039535696115709, 'mfe_60m': 3.595355670681194, 'mae_60m': 4.082183272289849, 'asym_60m': 0.8807433255353145, 'fp_0.5atr_before_0.5atr': 0.501000300090027, 'fp_1.0atr_before_1.0atr': 0.4956978489244622, 'fp_1.5atr_before_1.0atr': 0.39216373098478785, 'fp_2.0atr_before_1.0atr': 0.32632211538461536, 'fp_2.5atr_before_1.0atr': 0.28020488098824947, 'fp_3.0atr_before_1.0atr': 0.24706477732793522, 'fp_1.0atr_before_1.5atr': 0.5945851266139526, 'fp_2.0atr_before_1.5atr': 0.42214846107423054, 'fp_2.5atr_before_1.5atr': 0.3684237202230106, 'n_long': 9997, 'n_short': 0}","{'n': 3332, 'mfe_3m': 0.8840487451399927, 'mae_3m': 0.9110235577301855, 'asym_3m': 0.9703906530612659, 'mfe_5m': 1.133701629670307, 'mae_5m': 1.1904143133700864, 'asym_5m': 0.9523588694601424, 'mfe_10m': 1.5759381778822008, 'mae_10m': 1.7003371427435412, 'asym_10m': 0.926838647622189, 'mfe_15m': 1.905073097062954, 'mae_15m': 2.0709889286582537, 'asym_15m': 0.9198856984219645, 'mfe_30m': 2.618581960105128, 'mae_30m': 2.897582518794265, 'asym_30m': 0.9037126442889937, 'mfe_60m': 3.5373947897415734, 'mae_60m': 3.9918956725518107, 'asym_60m': 0.886144097919348, 'fp_0.5atr_before_0.5atr': 0.507953181272509, 'fp_1.0atr_before_1.0atr': 0.49804921968787513, 'fp_1.5atr_before_1.0atr': 0.3895226658661063, 'fp_2.0atr_before_1.0atr': 0.32359144320578487, 'fp_2.5atr_before_1.0atr': 0.28143893591293834, 'fp_3.0atr_before_1.0atr': 0.24726277372262773, 'fp_1.0atr_before_1.5atr': 0.5939657760432303, 'fp_2.0atr_before_1.5atr': 0.4149546827794562, 'fp_2.5atr_before_1.5atr': 0.3693268352116966, 'n_long': 3332, 'n_short': 0}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.005836615144137358
RAND_GATE_A,A,randomized direction control UPPER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 10651, 'mfe_3m': 0.9607140524065353, 'mae_3m': 0.9741234883959478, 'asym_3m': 0.9862343571948016, 'mfe_5m': 1.2445453288273223, 'mae_5m': 1.2559187749643779, 'asym_5m': 0.9909441228495225, 'mfe_10m': 1.7523878940867124, 'mae_10m': 1.7474863037407184, 'asym_10m': 1.0028049377757648, 'mfe_15m': 2.1319331661839294, 'mae_15m': 2.1104014517105285, 'asym_15m': 1.0102026628421568, 'mfe_30m': 2.9931689001935973, 'mae_30m': 2.926416488128741, 'asym_30m': 1.0228102911310277, 'mfe_60m': 4.147269545590578, 'mae_60m': 3.956591639138261, 'asym_60m': 1.0481924655974468, 'fp_0.5atr_before_0.5atr': 0.48619847901605484, 'fp_1.0atr_before_1.0atr': 0.49126760563380284, 'fp_1.5atr_before_1.0atr': 0.3939237415477085, 'fp_2.0atr_before_1.0atr': 0.3275197442647612, 'fp_2.5atr_before_1.0atr': 0.2754544598285768, 'fp_3.0atr_before_1.0atr': 0.2388447721686519, 'fp_1.0atr_before_1.5atr': 0.5932394366197183, 'fp_2.0atr_before_1.5atr': 0.4206730769230769, 'fp_2.5atr_before_1.5atr': 0.3629177317050081, 'n_long': 0, 'n_short': 10651}","{'n': 3550, 'mfe_3m': 0.9886892393188083, 'mae_3m': 0.9325825414457217, 'asym_3m': 1.0601627152338795, 'mfe_5m': 1.2754173640544166, 'mae_5m': 1.2034356142325497, 'asym_5m': 1.0598135446305292, 'mfe_10m': 1.7771892463137262, 'mae_10m': 1.694003135997688, 'asym_10m': 1.049106231593276, 'mfe_15m': 2.1704080408976667, 'mae_15m': 2.064944678798912, 'asym_15m': 1.0510732143003938, 'mfe_30m': 3.0598235749607987, 'mae_30m': 2.8691240643418725, 'asym_30m': 1.0664661082415303, 'mfe_60m': 4.142334933176179, 'mae_60m': 3.8638784312026244, 'asym_60m': 1.0720665794567676, 'fp_0.5atr_before_0.5atr': 0.5035211267605634, 'fp_1.0atr_before_1.0atr': 0.5052112676056338, 'fp_1.5atr_before_1.0atr': 0.4005353620738236, 'fp_2.0atr_before_1.0atr': 0.3400564174894217, 'fp_2.5atr_before_1.0atr': 0.28422241038667795, 'fp_3.0atr_before_1.0atr': 0.24858356940509915, 'fp_1.0atr_before_1.5atr': 0.5987602141448295, 'fp_2.0atr_before_1.5atr': 0.4312341146568766, 'fp_2.5atr_before_1.5atr': 0.36936170212765956, 'n_long': 0, 'n_short': 3550}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.0027416854750871855
RAND_GATE_B,B,randomized direction control LOWER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 9997, 'mfe_3m': 0.9065659791345432, 'mae_3m': 0.9549198605966147, 'asym_3m': 0.9493634141907353, 'mfe_5m': 1.1667401226566767, 'mae_5m': 1.2400251743022759, 'asym_5m': 0.9409003517312989, 'mfe_10m': 1.6222350643752963, 'mae_10m': 1.7460045427879642, 'asym_10m': 0.9291127397555125, 'mfe_15m': 1.9618289313869473, 'mae_15m': 2.129866837680094, 'asym_15m': 0.9211040318012661, 'mfe_30m': 2.6886115297849074, 'mae_30m': 2.974280560604683, 'asym_30m': 0.9039535696115709, 'mfe_60m': 3.595355670681194, 'mae_60m': 4.082183272289849, 'asym_60m': 0.8807433255353145, 'fp_0.5atr_before_0.5atr': 0.501000300090027, 'fp_1.0atr_before_1.0atr': 0.4956978489244622, 'fp_1.5atr_before_1.0atr': 0.39216373098478785, 'fp_2.0atr_before_1.0atr': 0.32632211538461536, 'fp_2.5atr_before_1.0atr': 0.28020488098824947, 'fp_3.0atr_before_1.0atr': 0.24706477732793522, 'fp_1.0atr_before_1.5atr': 0.5945851266139526, 'fp_2.0atr_before_1.5atr': 0.42214846107423054, 'fp_2.5atr_before_1.5atr': 0.3684237202230106, 'n_long': 9997, 'n_short': 0}","{'n': 3332, 'mfe_3m': 0.8840487451399927, 'mae_3m': 0.9110235577301855, 'asym_3m': 0.9703906530612659, 'mfe_5m': 1.133701629670307, 'mae_5m': 1.1904143133700864, 'asym_5m': 0.9523588694601424, 'mfe_10m': 1.5759381778822008, 'mae_10m': 1.7003371427435412, 'asym_10m': 0.926838647622189, 'mfe_15m': 1.905073097062954, 'mae_15m': 2.0709889286582537, 'asym_15m': 0.9198856984219645, 'mfe_30m': 2.618581960105128, 'mae_30m': 2.897582518794265, 'asym_30m': 0.9037126442889937, 'mfe_60m': 3.5373947897415734, 'mae_60m': 3.9918956725518107, 'asym_60m': 0.886144097919348, 'fp_0.5atr_before_0.5atr': 0.507953181272509, 'fp_1.0atr_before_1.0atr': 0.49804921968787513, 'fp_1.5atr_before_1.0atr': 0.3895226658661063, 'fp_2.0atr_before_1.0atr': 0.32359144320578487, 'fp_2.5atr_before_1.0atr': 0.28143893591293834, 'fp_3.0atr_before_1.0atr': 0.24726277372262773, 'fp_1.0atr_before_1.5atr': 0.5939657760432303, 'fp_2.0atr_before_1.5atr': 0.4149546827794562, 'fp_2.5atr_before_1.5atr': 0.3693268352116966, 'n_long': 3332, 'n_short': 0}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.005836615144137358
RAND_GATE_A,A,randomized direction control UPPER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 10651, 'mfe_3m': 0.9607140524065353, 'mae_3m': 0.9741234883959478, 'asym_3m': 0.9862343571948016, 'mfe_5m': 1.2445453288273223, 'mae_5m': 1.2559187749643779, 'asym_5m': 0.9909441228495225, 'mfe_10m': 1.7523878940867124, 'mae_10m': 1.7474863037407184, 'asym_10m': 1.0028049377757648, 'mfe_15m': 2.1319331661839294, 'mae_15m': 2.1104014517105285, 'asym_15m': 1.0102026628421568, 'mfe_30m': 2.9931689001935973, 'mae_30m': 2.926416488128741, 'asym_30m': 1.0228102911310277, 'mfe_60m': 4.147269545590578, 'mae_60m': 3.956591639138261, 'asym_60m': 1.0481924655974468, 'fp_0.5atr_before_0.5atr': 0.48619847901605484, 'fp_1.0atr_before_1.0atr': 0.49126760563380284, 'fp_1.5atr_before_1.0atr': 0.3939237415477085, 'fp_2.0atr_before_1.0atr': 0.3275197442647612, 'fp_2.5atr_before_1.0atr': 0.2754544598285768, 'fp_3.0atr_before_1.0atr': 0.2388447721686519, 'fp_1.0atr_before_1.5atr': 0.5932394366197183, 'fp_2.0atr_before_1.5atr': 0.4206730769230769, 'fp_2.5atr_before_1.5atr': 0.3629177317050081, 'n_long': 0, 'n_short': 10651}","{'n': 3550, 'mfe_3m': 0.9886892393188083, 'mae_3m': 0.9325825414457217, 'asym_3m': 1.0601627152338795, 'mfe_5m': 1.2754173640544166, 'mae_5m': 1.2034356142325497, 'asym_5m': 1.0598135446305292, 'mfe_10m': 1.7771892463137262, 'mae_10m': 1.694003135997688, 'asym_10m': 1.049106231593276, 'mfe_15m': 2.1704080408976667, 'mae_15m': 2.064944678798912, 'asym_15m': 1.0510732143003938, 'mfe_30m': 3.0598235749607987, 'mae_30m': 2.8691240643418725, 'asym_30m': 1.0664661082415303, 'mfe_60m': 4.142334933176179, 'mae_60m': 3.8638784312026244, 'asym_60m': 1.0720665794567676, 'fp_0.5atr_before_0.5atr': 0.5035211267605634, 'fp_1.0atr_before_1.0atr': 0.5052112676056338, 'fp_1.5atr_before_1.0atr': 0.4005353620738236, 'fp_2.0atr_before_1.0atr': 0.3400564174894217, 'fp_2.5atr_before_1.0atr': 0.28422241038667795, 'fp_3.0atr_before_1.0atr': 0.24858356940509915, 'fp_1.0atr_before_1.5atr': 0.5987602141448295, 'fp_2.0atr_before_1.5atr': 0.4312341146568766, 'fp_2.5atr_before_1.5atr': 0.36936170212765956, 'n_long': 0, 'n_short': 3550}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.0027416854750871855
RAND_GATE_A,A,randomized direction control UPPER_VALUE_REJECTION,"100 seeds, developing value, frozen T+1 entry","{'n': 10651, 'mfe_3m': 0.9607140524065353, 'mae_3m': 0.9741234883959478, 'asym_3m': 0.9862343571948016, 'mfe_5m': 1.2445453288273223, 'mae_5m': 1.2559187749643779, 'asym_5m': 0.9909441228495225, 'mfe_10m': 1.7523878940867124, 'mae_10m': 1.7474863037407184, 'asym_10m': 1.0028049377757648, 'mfe_15m': 2.1319331661839294, 'mae_15m': 2.1104014517105285, 'asym_15m': 1.0102026628421568, 'mfe_30m': 2.9931689001935973, 'mae_30m': 2.926416488128741, 'asym_30m': 1.0228102911310277, 'mfe_60m': 4.147269545590578, 'mae_60m': 3.956591639138261, 'asym_60m': 1.0481924655974468, 'fp_0.5atr_before_0.5atr': 0.48619847901605484, 'fp_1.0atr_before_1.0atr': 0.49126760563380284, 'fp_1.5atr_before_1.0atr': 0.3939237415477085, 'fp_2.0atr_before_1.0atr': 0.3275197442647612, 'fp_2.5atr_before_1.0atr': 0.2754544598285768, 'fp_3.0atr_before_1.0atr': 0.2388447721686519, 'fp_1.0atr_before_1.5atr': 0.5932394366197183, 'fp_2.0atr_before_1.5atr': 0.4206730769230769, 'fp_2.5atr_before_1.5atr': 0.3629177317050081, 'n_long': 0, 'n_short': 10651}","{'n': 3550, 'mfe_3m': 0.9886892393188083, 'mae_3m': 0.9325825414457217, 'asym_3m': 1.0601627152338795, 'mfe_5m': 1.2754173640544166, 'mae_5m': 1.2034356142325497, 'asym_5m': 1.0598135446305292, 'mfe_10m': 1.7771892463137262, 'mae_10m': 1.694003135997688, 'asym_10m': 1.049106231593276, 'mfe_15m': 2.1704080408976667, 'mae_15m': 2.064944678798912, 'asym_15m': 1.0510732143003938, 'mfe_30m': 3.0598235749607987, 'mae_30m': 2.8691240643418725, 'asym_30m': 1.0664661082415303, 'mfe_60m': 4.142334933176179, 'mae_60m': 3.8638784312026244, 'asym_60m': 1.0720665794567676, 'fp_0.5atr_before_0.5atr': 0.5035211267605634, 'fp_1.0atr_before_1.0atr': 0.5052112676056338, 'fp_1.5atr_before_1.0atr': 0.4005353620738236, 'fp_2.0atr_before_1.0atr': 0.3400564174894217, 'fp_2.5atr_before_1.0atr': 0.28422241038667795, 'fp_3.0atr_before_1.0atr': 0.24858356940509915, 'fp_1.0atr_before_1.5atr': 0.5987602141448295, 'fp_2.0atr_before_1.5atr': 0.4312341146568766, 'fp_2.5atr_before_1.5atr': 0.36936170212765956, 'n_long': 0, 'n_short': 3550}",NO_DIRECTIONAL_INFORMATION,fp21 delta=-0.0027416854750871855
