level_type,level_category,band_atr,n,match_status,two_sided_15_treat,beats_simple_sr,band_cliff,verdict
PRIOR_VAH,auction,0.1,10159,N/A_BAND,4.23900755063815,True,False,CONTROL_MATCH_FAIL
PRIOR_VAH,auction,0.25,10174,CONTROL_MATCH_FAIL,4.250598575621213,True,False,CONTROL_MATCH_FAIL
PRIOR_VAH,auction,0.5,10188,N/A_BAND,4.265199376426767,True,False,CONTROL_MATCH_FAIL
PRIOR_VAL,auction,0.1,8721,N/A_BAND,4.194845867176945,True,False,CONTROL_MATCH_FAIL
PRIOR_VAL,auction,0.25,8721,CONTROL_MATCH_FAIL,4.20893325064778,True,False,CONTROL_MATCH_FAIL
PRIOR_VAL,auction,0.5,8775,N/A_BAND,4.225444924541097,True,False,CONTROL_MATCH_FAIL
DEV_VAH,auction,0.1,30300,N/A_BAND,4.488101886414814,True,False,CONTROL_MATCH_FAIL
DEV_VAH,auction,0.25,30196,CONTROL_MATCH_FAIL,4.473264101547553,True,False,CONTROL_MATCH_FAIL
DEV_VAH,auction,0.5,29649,N/A_BAND,4.472467513165849,True,False,CONTROL_MATCH_FAIL
DEV_VAL,auction,0.1,27124,N/A_BAND,4.581166308338614,True,False,CONTROL_MATCH_FAIL
DEV_VAL,auction,0.25,26801,CONTROL_MATCH_FAIL,4.5844913791676225,True,False,CONTROL_MATCH_FAIL
DEV_VAL,auction,0.5,26370,N/A_BAND,4.576471843737113,True,False,CONTROL_MATCH_FAIL
PRIOR_POC,auction,0.1,9643,N/A_BAND,4.2476365235329565,True,False,CONTROL_MATCH_FAIL
PRIOR_POC,auction,0.25,9660,CONTROL_MATCH_FAIL,4.275937378203833,True,False,CONTROL_MATCH_FAIL
PRIOR_POC,auction,0.5,9822,N/A_BAND,4.265702213248406,True,False,CONTROL_MATCH_FAIL
DEV_POC,auction,0.1,47825,N/A_BAND,4.312589430885875,True,False,CONTROL_MATCH_FAIL
DEV_POC,auction,0.25,44560,CONTROL_MATCH_FAIL,4.324848506826838,True,False,CONTROL_MATCH_FAIL
DEV_POC,auction,0.5,40059,N/A_BAND,4.333538193985537,True,False,CONTROL_MATCH_FAIL
VWAP,auction,0.1,30533,N/A_BAND,4.511772854259499,True,False,CONTROL_MATCH_FAIL
VWAP,auction,0.25,30185,CONTROL_MATCH_FAIL,4.503599775686585,True,False,CONTROL_MATCH_FAIL
VWAP,auction,0.5,29327,N/A_BAND,4.508915079009193,True,False,CONTROL_MATCH_FAIL
HVN_ZONE,auction,0.1,0,DATA_INSUFFICIENT,,False,False,DATA_INSUFFICIENT
HVN_ZONE,auction,0.25,77134,ACCEPT,4.135738295804677,True,False,MODERATE_LOCATION_INFORMATION
HVN_ZONE,auction,0.5,0,DATA_INSUFFICIENT,,False,False,DATA_INSUFFICIENT
LVN_ZONE,auction,0.1,0,DATA_INSUFFICIENT,,False,False,DATA_INSUFFICIENT
LVN_ZONE,auction,0.25,43944,CONTROL_MATCH_FAIL,4.341472496241055,True,False,CONTROL_MATCH_FAIL
LVN_ZONE,auction,0.5,0,DATA_INSUFFICIENT,,False,False,DATA_INSUFFICIENT
PRIOR_SESSION_HIGH,simple,0.1,8855,N/A_SIMPLE,4.276135357543803,True,False,N/A_SIMPLE_BASELINE
PRIOR_SESSION_HIGH,simple,0.25,8930,N/A_SIMPLE,4.287580136774933,True,False,N/A_SIMPLE_BASELINE
PRIOR_SESSION_HIGH,simple,0.5,8949,N/A_SIMPLE,4.301137934204364,True,False,N/A_SIMPLE_BASELINE
PRIOR_SESSION_LOW,simple,0.1,7039,N/A_SIMPLE,4.1984928993208825,True,False,N/A_SIMPLE_BASELINE
PRIOR_SESSION_LOW,simple,0.25,7084,N/A_SIMPLE,4.21496708081026,True,False,N/A_SIMPLE_BASELINE
PRIOR_SESSION_LOW,simple,0.5,7208,N/A_SIMPLE,4.242587373628864,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_HIGH,simple,0.1,11423,N/A_SIMPLE,4.3121092131654875,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_HIGH,simple,0.25,11457,N/A_SIMPLE,4.322455411622771,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_HIGH,simple,0.5,11443,N/A_SIMPLE,4.312242577306134,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_LOW,simple,0.1,10355,N/A_SIMPLE,4.190278886470072,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_LOW,simple,0.25,10417,N/A_SIMPLE,4.1838926088162145,True,False,N/A_SIMPLE_BASELINE
OVERNIGHT_LOW,simple,0.5,10501,N/A_SIMPLE,4.241670269107551,True,False,N/A_SIMPLE_BASELINE
OR_HIGH,simple,0.1,19723,N/A_SIMPLE,4.7538672439626435,True,False,N/A_SIMPLE_BASELINE
OR_HIGH,simple,0.25,19535,N/A_SIMPLE,4.763371992561184,True,False,N/A_SIMPLE_BASELINE
OR_HIGH,simple,0.5,19163,N/A_SIMPLE,4.766094938342185,True,False,N/A_SIMPLE_BASELINE
OR_LOW,simple,0.1,17688,N/A_SIMPLE,4.904121428227956,True,False,N/A_SIMPLE_BASELINE
OR_LOW,simple,0.25,17633,N/A_SIMPLE,4.892473836426201,True,False,N/A_SIMPLE_BASELINE
OR_LOW,simple,0.5,17431,N/A_SIMPLE,4.891914663051942,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_HIGH,simple,0.1,114453,N/A_SIMPLE,4.062564564814435,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_HIGH,simple,0.25,110568,N/A_SIMPLE,4.080263965285021,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_HIGH,simple,0.5,99719,N/A_SIMPLE,4.092305099737989,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_LOW,simple,0.1,111592,N/A_SIMPLE,4.2111995494649985,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_LOW,simple,0.25,110544,N/A_SIMPLE,4.180567988278995,True,False,N/A_SIMPLE_BASELINE
ROLL_5M_LOW,simple,0.5,103580,N/A_SIMPLE,4.133123471452879,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_HIGH,simple,0.1,80245,N/A_SIMPLE,4.0910888115056,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_HIGH,simple,0.25,78990,N/A_SIMPLE,4.11154394332228,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_HIGH,simple,0.5,75231,N/A_SIMPLE,4.122144566750441,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_LOW,simple,0.1,75110,N/A_SIMPLE,4.348016070636565,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_LOW,simple,0.25,75733,N/A_SIMPLE,4.3302543314183755,True,False,N/A_SIMPLE_BASELINE
ROLL_10M_LOW,simple,0.5,74808,N/A_SIMPLE,4.30557675283944,True,False,N/A_SIMPLE_BASELINE
ROLL_20M_HIGH,simple,0.1,56882,N/A_SIMPLE,4.138138539759781,True,False,N/A_SIMPLE_BASELINE
ROLL_20M_HIGH,simple,0.25,56740,N/A_SIMPLE,4.161120490709466,True,False,N/A_SIMPLE_BASELINE
ROLL_20M_HIGH,simple,0.5,55534,N/A_SIMPLE,4.180557858664286,True,False,N/A_SIMPLE_BASELINE
