family,split,n,fp_1_1,fp_2_1,asym_15m
A,TRAIN,10651,0.49126760563380284,0.3275197442647612,1.0102026628421568
A,VALIDATION,3550,0.5052112676056338,0.3400564174894217,1.0510732143003938
A,PREVIOUSLY_EXPOSED_HISTORICAL_TEST,3551,0.5085891298225852,0.34155624471384266,1.0813516830684502
B,TRAIN,9997,0.4956978489244622,0.32632211538461536,0.9211040318012661
B,VALIDATION,3332,0.49804921968787513,0.32359144320578487,0.9198856984219645
B,PREVIOUSLY_EXPOSED_HISTORICAL_TEST,3333,0.5003000300030003,0.32882882882882886,0.943454840410893
D,TRAIN,19118,0.4949775034006487,0.33019905709795705,0.9774004708899826
D,VALIDATION,6373,0.496782294773191,0.32273800157356414,0.9682341723903085
D,PREVIOUSLY_EXPOSED_HISTORICAL_TEST,6373,0.49992153170119275,0.3316575019638649,0.9952810517904436
E,TRAIN,23217,0.5054282267792521,0.34214615617041483,1.043376295976982
E,VALIDATION,7739,0.5063978286157426,0.3352316852187419,1.0159854929842058
E,PREVIOUSLY_EXPOSED_HISTORICAL_TEST,7740,0.48359173126614985,0.3127587991718426,0.936600402216992
F,TRAIN,25840,0.49345924607167735,0.3241745465819253,0.9611710992094545
F,VALIDATION,8613,0.5037161769829288,0.331412271510071,0.9703049020950024
F,PREVIOUSLY_EXPOSED_HISTORICAL_TEST,8614,0.4982586487114,0.33230644036270635,1.0018214744220748
