calendar_date,window_id,direction,liquidity_type,liquidity_price,sweep_time,sweep_extreme,displacement_time,displacement_atr,mss_time,mss_level,fvg_created,fvg_low,fvg_high,fvg_mid,retrace_time,entry_time,entry_price,entry_location,stop,outcome_r,exit_reason,mfe_3m,mae_3m,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,plus_0.5R_before_minus_1R,plus_1.0R_before_minus_1R,plus_1.5R_before_minus_1R,plus_2.0R_before_minus_1R,plus_2.5R_before_minus_1R,plus_3.0R_before_minus_1R,atr,year
2017-11-02,SB1,LONG,SWING_LOW,6250.5,2017-11-02 02:44:00-05:00,6226.5,2017-11-02 02:44:00-05:00,1.0769230769230769,2017-11-02 02:44:00-05:00,6226.75,2017-11-02 02:44:00-05:00,6226.25,6226.5,6226.375,2017-11-02 02:44:00-05:00,2017-11-02 02:45:00-05:00,6227.0,FVG_TOUCH,6226.5,2.0,TARGET,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,6.75,2.0,10.5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.48214285714285715,2017
2017-11-14,SB2,LONG,PRIOR_SESSION_LOW,6285.0,2017-11-14 09:00:00-06:00,6272.75,2017-11-14 09:00:00-06:00,0.871369294605809,2017-11-14 09:10:00-06:00,6274.5,2017-11-14 09:14:00-06:00,6275.75,6276.75,6276.25,2017-11-14 09:14:00-06:00,2017-11-14 09:15:00-06:00,6278.5,FVG_TOUCH,6272.75,2.0,TARGET,10.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,18.0,3.25,22.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,4.875,2017
2018-01-10,SB1,LONG,SWING_LOW,6682.75,2018-01-10 02:00:00-06:00,6672.25,2018-01-10 02:01:00-06:00,1.0,2018-01-10 02:07:00-06:00,6673.75,2018-01-10 02:16:00-06:00,6671.75,6672.0,6671.875,2018-01-10 02:16:00-06:00,2018-01-10 02:17:00-06:00,6672.75,FVG_TOUCH,6672.25,2.0,TARGET,3.25,0.75,3.25,0.75,3.25,1.25,3.25,2.0,6.25,2.0,6.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.3035714285714286,2018
2018-01-10,SB2,LONG,PRIOR_SESSION_LOW,6667.25,2018-01-10 09:00:00-06:00,6635.0,2018-01-10 09:06:00-06:00,1.0705882352941176,2018-01-10 09:06:00-06:00,6640.5,2018-01-10 09:07:00-06:00,6640.5,6641.0,6640.75,2018-01-10 09:07:00-06:00,2018-01-10 09:08:00-06:00,6643.0,FVG_TOUCH,6635.0,2.0,TARGET,6.75,3.0,8.0,3.0,14.25,3.0,15.5,3.0,15.5,3.0,22.25,5.75,1.0,1.0,1.0,1.0,1.0,0.0,5.785714285714286,2018
2018-01-30,SB2,LONG,OVERNIGHT_LOW,6928.0,2018-01-30 09:16:00-06:00,6915.25,2018-01-30 09:21:00-06:00,1.0453333333333334,2018-01-30 09:22:00-06:00,6922.5,2018-01-30 09:22:00-06:00,6917.5,6920.5,6919.0,2018-01-30 09:22:00-06:00,2018-01-30 09:23:00-06:00,6924.75,FVG_TOUCH,6915.25,2.0,TARGET,7.5,2.75,10.25,2.75,20.25,2.75,20.25,2.75,20.25,2.75,44.5,2.75,1.0,1.0,1.0,1.0,1.0,1.0,6.339285714285714,2018
2018-01-30,SB2,LONG,SWING_LOW,7004.0,2018-01-30 09:54:00-06:00,6933.25,2018-01-30 09:54:00-06:00,1.0144927536231882,2018-01-30 09:54:00-06:00,6936.25,2018-01-30 09:54:00-06:00,6929.25,6933.25,6931.25,2018-01-30 09:54:00-06:00,2018-01-30 09:55:00-06:00,6938.25,FVG_TOUCH,6933.25,2.0,TARGET,18.0,2.5,24.5,2.5,24.5,2.5,31.0,2.5,31.0,2.5,31.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,5.089285714285714,2018
2018-02-02,SB2,LONG,SWING_LOW,6962.0,2018-02-02 09:23:00-06:00,6838.75,2018-02-02 09:25:00-06:00,0.851581508515815,2018-02-02 09:29:00-06:00,6847.0,2018-02-02 09:35:00-06:00,6842.25,6843.0,6842.625,2018-02-02 09:35:00-06:00,2018-02-02 09:36:00-06:00,6846.25,FVG_TOUCH,6838.75,2.0,TARGET,11.0,0.75,17.25,0.75,18.5,0.75,18.5,0.75,18.5,1.5,19.5,13.25,1.0,1.0,1.0,1.0,1.0,0.0,5.232142857142857,2018
2018-03-01,SB3,LONG,OVERNIGHT_LOW,6741.0,2018-03-01 13:14:00-06:00,6689.0,2018-03-01 13:16:00-06:00,1.0677966101694913,2018-03-01 13:18:00-06:00,6709.25,2018-03-01 13:18:00-06:00,6702.0,6703.25,6702.625,2018-03-01 13:18:00-06:00,2018-03-01 13:19:00-06:00,6713.0,FVG_TOUCH,6689.0,2.0,TARGET,20.75,1.5,20.75,1.5,24.75,1.5,29.5,1.5,37.75,2.25,70.0,2.25,1.0,1.0,1.0,1.0,1.0,0.0,10.178571428571429,2018
2018-04-02,SB3,LONG,SWING_LOW,6539.0,2018-04-02 13:49:00-05:00,6348.5,2018-04-02 13:50:00-05:00,0.9247706422018348,2018-04-02 13:50:00-05:00,6353.75,2018-04-02 13:51:00-05:00,6353.75,6357.25,6355.5,2018-04-02 13:51:00-05:00,2018-04-02 13:52:00-05:00,6362.75,FVG_TOUCH,6348.5,2.0,TARGET,10.75,1.5,10.75,6.75,10.75,6.75,16.25,6.75,35.25,6.75,43.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,9.160714285714286,2018
2018-04-25,SB2,LONG,SWING_LOW,6699.0,2018-04-25 09:18:00-05:00,6446.0,2018-04-25 09:23:00-05:00,1.0821256038647344,2018-04-25 09:24:00-05:00,6458.5,2018-04-25 09:25:00-05:00,6458.5,6466.5,6462.5,2018-04-25 09:25:00-05:00,2018-04-25 09:26:00-05:00,6472.5,FVG_TOUCH,6446.0,2.0,TARGET,7.5,9.0,11.25,9.0,24.5,9.0,31.5,9.0,47.0,9.0,72.5,9.0,1.0,1.0,1.0,1.0,1.0,0.0,10.767857142857142,2018
2018-05-15,SB2,LONG,SWING_LOW,6979.0,2018-05-15 09:32:00-05:00,6888.5,2018-05-15 09:32:00-05:00,1.217391304347826,2018-05-15 09:32:00-05:00,6890.0,2018-05-15 09:32:00-05:00,6887.25,6888.5,6887.875,2018-05-15 09:32:00-05:00,2018-05-15 09:33:00-05:00,6893.75,FVG_TOUCH,6888.5,2.0,TARGET,12.75,1.25,12.75,1.25,14.5,3.5,14.5,7.5,14.5,18.75,14.5,27.5,1.0,1.0,1.0,1.0,1.0,0.0,4.553571428571429,2018
2018-05-15,SB2,LONG,SWING_LOW,6980.5,2018-05-15 09:33:00-05:00,6892.5,2018-05-15 09:33:00-05:00,1.0431372549019606,2018-05-15 09:33:00-05:00,6896.75,2018-05-15 09:33:00-05:00,6889.75,6892.5,6891.125,2018-05-15 09:33:00-05:00,2018-05-15 09:34:00-05:00,6897.5,FVG_TOUCH,6892.5,2.0,TARGET,9.0,1.5,10.75,1.5,10.75,7.25,10.75,11.25,10.75,22.5,10.75,31.25,1.0,1.0,1.0,1.0,0.0,0.0,4.482142857142857,2018
2018-05-15,SB3,LONG,PRIOR_SESSION_LOW,6958.5,2018-05-15 13:00:00-05:00,6856.75,2018-05-15 13:04:00-05:00,1.5180722891566265,2018-05-15 13:10:00-05:00,6864.25,2018-05-15 13:11:00-05:00,6864.25,6865.75,6865.0,2018-05-15 13:11:00-05:00,2018-05-15 13:12:00-05:00,6866.25,FVG_TOUCH,6856.75,2.0,TARGET,3.25,2.5,3.25,3.5,4.5,3.5,9.25,9.0,24.5,9.0,24.5,9.0,1.0,1.0,1.0,1.0,1.0,0.0,3.982142857142857,2018
2018-06-06,SB2,LONG,SWING_LOW,7154.75,2018-06-06 09:55:00-05:00,7149.25,2018-06-06 09:55:00-05:00,1.0511945392491469,2018-06-06 09:55:00-05:00,7151.25,2018-06-06 09:55:00-05:00,7149.0,7149.25,7149.125,2018-06-06 09:55:00-05:00,2018-06-06 09:56:00-05:00,7154.75,FVG_TOUCH,7149.25,2.0,TARGET,8.5,0.5,15.0,0.5,15.0,0.5,15.0,0.5,29.5,0.5,34.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5.267857142857143,2018
