calendar_date,window_id,direction,liquidity_type,liquidity_price,sweep_time,sweep_extreme,displacement_time,displacement_atr,mss_time,mss_level,fvg_created,fvg_low,fvg_high,fvg_mid,retrace_time,entry_time,entry_price,entry_location,stop,outcome_r,exit_reason,mfe_3m,mae_3m,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,plus_0.5R_before_minus_1R,plus_1.0R_before_minus_1R,plus_1.5R_before_minus_1R,plus_2.0R_before_minus_1R,plus_2.5R_before_minus_1R,plus_3.0R_before_minus_1R,atr,year
2017-10-02,SB2,SHORT,SWING_HIGH,5997.75,2017-10-02 09:51:00-05:00,6007.5,2017-10-02 09:51:00-05:00,1.3275862068965516,2017-10-02 09:51:00-05:00,6005.75,2017-10-02 09:52:00-05:00,6004.5,6006.0,6005.25,2017-10-02 09:52:00-05:00,2017-10-02 09:53:00-05:00,6002.75,FVG_TOUCH,6007.5,2.0,TARGET,1.25,1.25,2.75,1.25,3.5,1.25,4.5,1.25,7.5,1.5,27.25,1.5,1.0,1.0,1.0,1.0,1.0,1.0,2.25,2017
2017-10-03,SB2,SHORT,SWING_HIGH,5991.25,2017-10-03 09:12:00-05:00,5992.25,2017-10-03 09:12:00-05:00,1.5454545454545454,2017-10-03 09:12:00-05:00,5991.75,2017-10-03 09:12:00-05:00,5992.25,5995.0,5993.625,2017-10-03 09:12:00-05:00,2017-10-03 09:13:00-05:00,5988.0,FVG_TOUCH,5992.25,2.0,TARGET,8.5,1.5,8.5,1.5,8.5,1.5,8.5,2.75,8.5,9.5,8.5,9.5,1.0,1.0,1.0,1.0,0.0,0.0,2.857142857142857,2017
2017-10-03,SB2,SHORT,SWING_HIGH,5988.75,2017-10-03 09:13:00-05:00,5989.5,2017-10-03 09:13:00-05:00,0.875,2017-10-03 09:13:00-05:00,5987.75,2017-10-03 09:13:00-05:00,5989.5,5991.75,5990.625,2017-10-03 09:13:00-05:00,2017-10-03 09:14:00-05:00,5987.25,FVG_TOUCH,5989.5,2.0,TARGET,7.75,0.0,7.75,0.0,7.75,3.5,7.75,3.5,7.75,10.25,7.75,10.25,1.0,1.0,1.0,1.0,1.0,1.0,3.125,2017
2017-10-06,SB2,SHORT,SWING_HIGH,6002.0,2017-10-06 09:32:00-05:00,6060.25,2017-10-06 09:32:00-05:00,0.8990825688073395,2017-10-06 09:32:00-05:00,6059.25,2017-10-06 09:32:00-05:00,6060.25,6061.0,6060.625,2017-10-06 09:32:00-05:00,2017-10-06 09:33:00-05:00,6058.5,FVG_TOUCH,6060.25,2.0,TARGET,5.5,0.5,10.25,0.5,10.5,0.5,10.5,0.5,16.75,0.5,16.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8392857142857142,2017
2017-10-06,SB2,SHORT,SWING_HIGH,6007.25,2017-10-06 09:37:00-05:00,6053.75,2017-10-06 09:37:00-05:00,0.8235294117647058,2017-10-06 09:37:00-05:00,6053.0,2017-10-06 09:37:00-05:00,6053.75,6054.75,6054.25,2017-10-06 09:37:00-05:00,2017-10-06 09:38:00-05:00,6052.25,FVG_TOUCH,6053.75,2.0,TARGET,4.25,0.25,4.25,0.25,4.25,1.25,5.75,2.0,10.5,2.0,10.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,2.25,2017
2017-10-09,SB3,SHORT,SWING_HIGH,6067.75,2017-10-09 13:16:00-05:00,6071.75,2017-10-09 13:16:00-05:00,2.8000000000000003,2017-10-09 13:16:00-05:00,6071.25,2017-10-09 13:16:00-05:00,6071.75,6072.25,6072.0,2017-10-09 13:16:00-05:00,2017-10-09 13:17:00-05:00,6069.0,FVG_TOUCH,6071.75,2.0,TARGET,3.0,0.75,3.0,1.25,3.0,2.5,3.0,2.5,4.5,2.5,13.75,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.25,2017
2017-10-11,SB1,SHORT,SWING_HIGH,6060.75,2017-10-11 02:18:00-05:00,6064.5,2017-10-11 02:18:00-05:00,1.4736842105263157,2017-10-11 02:18:00-05:00,6064.25,2017-10-11 02:18:00-05:00,6064.5,6064.75,6064.625,2017-10-11 02:18:00-05:00,2017-10-11 02:19:00-05:00,6063.25,FVG_TOUCH,6064.5,2.0,TARGET,4.25,0.0,5.0,0.0,5.0,0.0,5.0,0.0,6.5,0.0,7.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8035714285714286,2017
2017-10-11,SB1,SHORT,SWING_HIGH,6062.25,2017-10-11 02:19:00-05:00,6063.25,2017-10-11 02:19:00-05:00,2.1777777777777776,2017-10-11 02:19:00-05:00,6063.25,2017-10-11 02:19:00-05:00,6063.25,6064.25,6063.75,2017-10-11 02:19:00-05:00,2017-10-11 02:20:00-05:00,6061.5,FVG_TOUCH,6063.25,2.0,TARGET,3.25,0.0,3.25,0.0,3.25,0.5,3.25,1.25,4.75,1.25,5.5,1.25,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,2017
2017-10-12,SB1,SHORT,SWING_HIGH,6059.0,2017-10-12 02:24:00-05:00,6082.0,2017-10-12 02:24:00-05:00,1.4482758620689653,2017-10-12 02:24:00-05:00,6082.0,2017-10-12 02:24:00-05:00,6082.0,6082.5,6082.25,2017-10-12 02:24:00-05:00,2017-10-12 02:25:00-05:00,6081.5,FVG_TOUCH,6082.0,2.0,TARGET,1.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,2.25,0.0,2.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48214285714285715,2017
2017-10-13,SB3,SHORT,SWING_HIGH,6082.75,2017-10-13 13:20:00-05:00,6099.25,2017-10-13 13:20:00-05:00,1.0566037735849056,2017-10-13 13:20:00-05:00,6099.0,2017-10-13 13:20:00-05:00,6099.25,6099.75,6099.5,2017-10-13 13:20:00-05:00,2017-10-13 13:21:00-05:00,6098.75,FVG_TOUCH,6099.25,2.0,TARGET,1.75,0.0,1.75,0.25,1.75,0.5,1.75,0.5,2.75,0.5,2.75,2.75,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,2017
