idx,calendar_date,window_id,direction,entry_price,stop,risk_points,liquidity_type,reason
94,2017-11-15,SB1,LONG,6263.25,6265.5,-2.25,SWING_LOW,STOP_WRONG_SIDE
143,2017-12-11,SB2,SHORT,6382.75,6382.5,-0.25,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
176,2018-01-02,SB3,SHORT,6513.5,6508.5,-5.0,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
300,2018-02-16,SB1,SHORT,6851.5,6845.5,-6.0,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
382,2018-03-29,SB3,SHORT,6607.75,6605.75,-2.0,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
395,2018-04-06,SB3,LONG,6459.0,6466.75,-7.75,OVERNIGHT_LOW,STOP_WRONG_SIDE
452,2018-05-04,SB3,SHORT,6782.25,6780.25,-2.0,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
566,2018-06-25,SB1,LONG,7178.75,7179.0,-0.25,SWING_LOW,STOP_WRONG_SIDE
601,2018-07-12,SB2,SHORT,7340.75,7331.5,-9.25,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
833,2018-11-07,SB1,SHORT,7093.25,7072.25,-21.0,SWING_HIGH,STOP_WRONG_SIDE
837,2018-11-09,SB1,LONG,7125.0,7125.0,0.0,PRIOR_SESSION_LOW,ZERO_RISK
839,2018-11-09,SB1,LONG,7111.25,7116.0,-4.75,SWING_LOW,STOP_WRONG_SIDE
904,2018-12-14,SB1,LONG,6675.5,6676.0,-0.5,SESSION_LOW_PRE_WINDOW,STOP_WRONG_SIDE
1022,2019-02-25,SB1,SHORT,7122.0,7121.25,-0.75,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
1041,2019-03-07,SB3,LONG,7038.0,7039.25,-1.25,SWING_LOW,STOP_WRONG_SIDE
1045,2019-03-13,SB3,SHORT,7318.25,7315.0,-3.25,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
1066,2019-03-21,SB2,SHORT,7455.5,7454.75,-0.75,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
1213,2019-06-06,SB1,SHORT,7245.25,7237.5,-7.75,SWING_HIGH,STOP_WRONG_SIDE
1276,2019-07-15,SB1,SHORT,7979.0,7978.5,-0.5,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
1295,2019-07-29,SB2,LONG,7963.5,7968.0,-4.5,PRIOR_SESSION_LOW,STOP_WRONG_SIDE
1301,2019-07-31,SB3,LONG,7865.75,7914.0,-48.25,SWING_LOW,STOP_WRONG_SIDE
1335,2019-08-20,SB3,LONG,7690.75,7698.0,-7.25,SWING_LOW,STOP_WRONG_SIDE
1354,2019-08-29,SB1,SHORT,7633.5,7605.0,-28.5,SWING_HIGH,STOP_WRONG_SIDE
1371,2019-09-10,SB2,LONG,7758.0,7758.0,0.0,PRIOR_SESSION_LOW,ZERO_RISK
1402,2019-10-03,SB2,LONG,7499.75,7503.0,-3.25,PRIOR_SESSION_LOW,STOP_WRONG_SIDE
1596,2020-01-24,SB1,SHORT,9272.0,9272.0,0.0,SESSION_HIGH_PRE_WINDOW,ZERO_RISK
1655,2020-02-21,SB2,LONG,9491.75,9495.25,-3.5,SWING_LOW,STOP_WRONG_SIDE
1682,2020-03-03,SB3,LONG,8539.5,8583.5,-44.0,SESSION_LOW_PRE_WINDOW,STOP_WRONG_SIDE
1714,2020-03-20,SB1,SHORT,7522.75,7520.0,-2.75,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
1753,2020-04-09,SB1,SHORT,8254.5,8252.5,-2.0,SWING_HIGH,STOP_WRONG_SIDE
1815,2020-05-15,SB1,SHORT,9121.5,9116.25,-5.25,SWING_HIGH,STOP_WRONG_SIDE
1900,2020-06-24,SB2,LONG,10086.5,10112.0,-25.5,SWING_LOW,STOP_WRONG_SIDE
1960,2020-07-24,SB1,LONG,10392.0,10396.0,-4.0,SESSION_LOW_PRE_WINDOW,STOP_WRONG_SIDE
2341,2021-01-11,SB3,LONG,12927.25,12936.5,-9.25,SWING_LOW,STOP_WRONG_SIDE
2378,2021-02-02,SB2,SHORT,13412.25,13400.25,-12.0,SWING_HIGH,STOP_WRONG_SIDE
2393,2021-02-09,SB2,SHORT,13719.0,13719.0,0.0,SWING_HIGH,ZERO_RISK
2397,2021-02-10,SB2,LONG,13576.25,13586.5,-10.25,OVERNIGHT_LOW,STOP_WRONG_SIDE
2432,2021-03-01,SB2,SHORT,13179.75,13172.25,-7.5,SWING_HIGH,STOP_WRONG_SIDE
2456,2021-03-09,SB2,SHORT,12738.5,12734.0,-4.5,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
2498,2021-03-30,SB2,LONG,12805.0,12813.0,-8.0,PRIOR_SESSION_LOW,STOP_WRONG_SIDE
2500,2021-03-31,SB2,SHORT,13083.0,13078.0,-5.0,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
2501,2021-03-31,SB2,SHORT,13113.5,13101.25,-12.25,SWING_HIGH,STOP_WRONG_SIDE
2503,2021-04-01,SB2,SHORT,13305.5,13294.0,-11.5,SWING_HIGH,STOP_WRONG_SIDE
2567,2021-05-04,SB2,LONG,13529.25,13529.5,-0.25,PRIOR_SESSION_LOW,STOP_WRONG_SIDE
2596,2021-05-20,SB2,SHORT,13399.25,13398.0,-1.25,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
2677,2021-07-07,SB1,SHORT,14795.75,14792.75,-3.0,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
2705,2021-07-20,SB3,SHORT,14762.25,14752.0,-10.25,OVERNIGHT_HIGH,STOP_WRONG_SIDE
2781,2021-08-30,SB2,SHORT,15541.25,15535.5,-5.75,PRIOR_SESSION_HIGH,STOP_WRONG_SIDE
2782,2021-08-30,SB2,SHORT,15576.25,15573.25,-3.0,SWING_HIGH,STOP_WRONG_SIDE
2830,2021-09-20,SB3,LONG,14841.75,14844.0,-2.25,SWING_LOW,STOP_WRONG_SIDE
2949,2021-11-16,SB3,SHORT,16309.0,16306.75,-2.25,SWING_HIGH,STOP_WRONG_SIDE
2950,2021-11-17,SB1,SHORT,16322.5,16320.5,-2.0,SWING_HIGH,STOP_WRONG_SIDE
2995,2021-12-07,SB1,SHORT,16065.25,16047.0,-18.25,SESSION_HIGH_PRE_WINDOW,STOP_WRONG_SIDE
