exit_i,exit_price,exit_reason,gross_r,cost_r,net_r,mfe_r,mae_r,hold_minutes,be_activated,be_activation_bar,be_activation_minute,minutes_be_to_exit,trade_id,direction,entry_i,entry_ts,entry_price,initial_atr,model
124,5993.214285714285,INITIAL_STOP,-1.0,1.5615384615397725,-2.5615384615397723,0.0,4.3076923076923075,1,False,,,,P60-000001,SHORT,123,2017-10-01 19:03:00-05:00,5992.75,0.4642857142857143,ATM-A
264,5990.2330357142855,BREAKEVEN_STOP,0.05,2.136842105265613,-2.086842105265613,1.4736842105263157,0.0,10,True,260.0,6.0,4.0,P60-000002,SHORT,254,2017-10-01 21:16:00-05:00,5990.25,0.3392857142857143,ATM-A
320,5991.016071428571,BREAKEVEN_STOP,0.05,2.2555555555564673,-2.2055555555564674,2.333333333333333,0.7777777777777777,6,True,317.0,3.0,3.0,P60-000003,LONG,314,2017-10-01 22:17:00-05:00,5991.0,0.32142857142857145,ATM-A
344,5991.660714285715,INITIAL_STOP,-1.0,1.230303030303844,-2.230303030303844,0.0,2.9696969696969697,1,False,,,,P60-000004,LONG,343,2017-10-01 22:46:00-05:00,5992.25,0.5892857142857143,ATM-A
373,5990.357142857143,INITIAL_STOP,-1.0,2.0299999999985228,-3.0299999999985228,0.0,2.1,11,False,,,,P60-000005,SHORT,362,2017-10-01 23:06:00-05:00,5990.0,0.35714285714285715,ATM-A
446,5992.267857142857,BREAKEVEN_STOP,0.05,2.0299999999985228,-1.9799999999985227,1.4,0.0,3,True,446.0,3.0,0.0,P60-000006,LONG,443,2017-10-02 00:37:00-05:00,5992.25,0.35714285714285715,ATM-A
480,5990.982142857143,INITIAL_STOP,-1.0,1.4000000000007025,-2.4000000000007025,0.0,1.9310344827586206,4,False,,,,P60-000007,LONG,476,2017-10-02 01:12:00-05:00,5991.5,0.5178571428571429,ATM-A
502,5989.714285714285,INITIAL_STOP,-1.0,3.3833333333394875,-4.383333333339488,0.0,1.1666666666666667,1,False,,,,P60-000008,SHORT,501,2017-10-02 01:37:00-05:00,5989.5,0.21428571428571427,ATM-A
557,5988.21875,BREAKEVEN_STOP,0.05,1.16,-1.1099999999999999,0.4,0.8,4,True,554.0,1.0,3.0,P60-000009,SHORT,553,2017-10-02 02:30:00-05:00,5988.25,0.625,ATM-A
630,5984.116071428572,TARGET,2.5,1.3096774193545313,1.1903225806454687,1.3548387096774193,0.0,3,True,629.0,2.0,1.0,P60-000010,SHORT,627,2017-10-02 03:45:00-05:00,5985.5,0.5535714285714286,ATM-A
801,5996.767857142857,INITIAL_STOP,-1.0,0.9902439024386729,-1.9902439024386729,0.0,1.024390243902439,1,False,,,,P60-000011,LONG,800,2017-10-02 06:38:00-05:00,5997.5,0.7321428571428571,ATM-A
1218,5984.767857142857,INITIAL_STOP,-1.0,0.41855670103086506,-1.418556701030865,0.7216494845360825,1.0103092783505154,2,False,,,,P60-000012,LONG,1216,2017-10-02 13:34:00-05:00,5986.5,1.7321428571428572,ATM-A
1262,5980.035714285715,INITIAL_STOP,-1.0,0.47209302325569413,-1.4720930232556941,0.0,1.3023255813953487,1,False,,,,P60-000013,SHORT,1261,2017-10-02 14:19:00-05:00,5978.5,1.5357142857142858,ATM-A
1276,5980.196428571428,INITIAL_STOP,-1.0,0.46666666666662765,-1.4666666666666277,0.16091954022988506,1.1264367816091954,1,False,,,,P60-000014,LONG,1275,2017-10-02 14:33:00-05:00,5981.75,1.5535714285714286,ATM-A
