model_id,components,feature_cols,roles,logic_type,threshold,retention,N,AvgR,PF,TotalR,DD,WinRate,LONG_AvgR,SHORT_AvgR,DeltaAvgR,DeltaTotalR,kept_AvgR,rejected_AvgR,random_control_result,year_stability,causal_pass,complexity,status,partition,N_validation,AvgR_validation,PF_validation,TotalR_validation,DD_validation,DeltaAvgR_validation,validation_pass
SINGLE_F_LOCATION_SCORE,P58D_LOCATION_SCORE,F_LOCATION_SCORE,LOCATION,SINGLE,,0.7934482123110947,17221,0.006953244035963271,1.0097866082794096,119.7418155433235,137.89255853544105,0.28889146971720575,0.019851428470358014,-0.007844286510279365,-0.0003179854413319647,-38.07294903189231,0.006953244035963271,0.00849273902116712,0.013789666729710836,0.5714285714285714,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_REACTION_SCORE,P58D_REACTION_SCORE,F_REACTION_SCORE,REACTION,SINGLE,,0.7039255436785846,15278,0.011947222793996865,1.0168576078417175,182.5296698466841,202.6508934636776,0.2904830475193088,0.04149068361541678,-0.022650995286054503,0.004675993316701629,24.714905271468297,0.011947222793996865,-0.0038460792517068776,0.01642877619590001,0.7142857142857143,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_TOTAL_EVIDENCE,P58D_TOTAL_EVIDENCE,F_TOTAL_EVIDENCE,CONTEXT,SINGLE,,0.35269996314043495,7655,0.013173017484662285,1.018579488570936,100.83944884508979,79.26066576041603,0.29052906596995426,0.004245395210325111,0.023962922189566613,0.005901788007367049,-56.97531573012601,0.013173017484662285,0.004055471259885118,0.030755135793903328,0.5714285714285714,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_GOOD_LOCATION,P58E_GOOD_LOCATION,F_GOOD_LOCATION,LOCATION,SINGLE,,0.4551695539992628,9879,-0.00012322319402649715,0.9998271135385599,-1.2173219337877654,143.3587338036709,0.28697236562405104,0.0013096035390324813,-0.0017377366753678581,-0.007394452671321734,-159.03208650900356,-0.00012322319402649715,0.013448802241776192,0.003333679241175174,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_ALIGNED_ACTIVE,P58E_ALIGNED_ACTIVE,F_ALIGNED_ACTIVE,CONTEXT,SINGLE,,0.6205307777368227,13468,0.006827183780129348,1.0096150759989542,91.94851115078205,128.03697067952976,0.2892040392040392,0.02251056046038394,-0.012025691522884348,-0.00044404569716588807,-65.86625342443375,0.006827183780129348,0.00799735957071803,-0.018483561807774117,0.5714285714285714,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_HTF_SUPPORT,P58F_HTF_SUPPORT,F_HTF_SUPPORT,CONTEXT,SINGLE,,0.4317176557316624,9370,-0.013684693281660094,0.9809063649190236,-128.22557604915508,224.09382619862734,0.2830309498399146,0.01697413017995419,-0.05082694979062071,-0.02095592275895533,-286.04034062437086,-0.013684693281660094,0.023191206471896455,-0.011540362122657691,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_NO_HTF_CONTRA,P58F_HTF_CONTRA,F_NO_HTF_CONTRA,CONFLICT,SINGLE,,0.8373571691854036,18174,-0.0034417853224205292,0.9951748181781299,-62.5510064496707,145.69773951295187,0.2861230329041488,0.013692177447921148,-0.023725827765752206,-0.010713014799715766,-220.3657710248865,-0.0034417853224205292,0.06242656402971289,-0.00039132893665917755,0.42857142857142855,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_FALSE_REV_LOW,P58F_FALSE_REV_LOW,F_FALSE_REV_LOW,CONFLICT,SINGLE,,0.9256819019535569,20091,0.007267929566353877,1.0102336448477953,146.01997291761575,141.26685213075595,0.2891842118361455,0.02390040943936956,-0.012205819964061896,-3.2999109413588135e-06,-11.794791657600058,0.007267929566353877,0.007312332087786749,0.013869312131327836,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_REVERSAL_STRONG,P58F_REVERSAL_STRONG,F_REVERSAL_STRONG,REACTION,SINGLE,,0.550359380759307,11945,-0.005169377191004586,0.9927592992109021,-61.74821054654977,245.17244287228675,0.2856425282544998,0.007725897559061595,-0.01960448868819542,-0.012440606668299822,-219.5629751217656,-0.005169377191004586,0.02249851164276724,0.010207101677281831,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_NO_PULLBACK,P58F_PULLBACK_OK,F_NO_PULLBACK,CONFLICT,SINGLE,,0.9319941024695909,20228,0.006328304564722942,1.0089070603943757,128.00894473521566,144.77016188586214,0.2889064662843583,0.023222944636627052,-0.013472511110659148,-0.0009429249125722941,-29.80581984000014,0.006328304564722942,0.020193644878048835,-0.0076457920761431025,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_HTF_LTF_AGREE,P58F_HTF_LTF_AGREE,F_HTF_LTF_AGREE,CONFLICT,SINGLE,,0.8632970880943605,18737,0.015801385542096036,1.022329406608484,296.0705609022534,161.52233454223804,0.2916688904306986,0.025320444715201788,0.004633990096031954,0.0085301560648008,138.25579632703761,0.015801385542096036,-0.04659784170105755,0.014810120519282757,0.7142857142857143,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_CT_LOW,P58F_CT_LOW,F_CT_LOW,CONFLICT,SINGLE,,1.0,21704,0.007271229477295236,1.010238158631886,157.8147645752158,170.24068076042175,0.2891632878732031,0.024709304506526128,-0.013221741838876486,0.0,0.0,0.007271229477295236,0.0,0.01632033166630039,0.0,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_M15_NOT_NEUTRAL,P75_M15_NOT_NEUTRAL,F_M15_NOT_NEUTRAL,CONTEXT,SINGLE,,0.7275156653151493,15790,0.0030382811423577127,1.0042689297652259,47.974459237828285,217.34802438772184,0.28790373654211526,0.02393556286199143,-0.021886972668214977,-0.004232948334937523,-109.84030533738752,0.0030382811423577127,0.01857292954639625,0.020611962540957002,0.2857142857142857,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_M5_TRENDING,P75_M5_TRENDING,F_M5_TRENDING,CONTEXT,SINGLE,,0.3212311094729082,6972,0.02439988509139295,1.0346185950291584,170.11599885719164,100.33784060308797,0.2943201376936317,0.025374752216234836,0.023185070001544857,0.017128655614097713,12.301234281975837,0.02439988509139295,-0.0008350009694526129,0.0030828632463247366,0.7142857142857143,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_M5_DIRECTION_ALIGN,P60_DEV_HTF_5M,F_M5_DIRECTION_ALIGN,CONTEXT,SINGLE,,0.27280685587910064,5921,0.033866985412403884,1.0482420599699434,200.52642062684342,81.80879084771621,0.29707819625063336,0.027924491253239214,0.04160470428450439,0.02659575593510865,42.711656051627614,0.033866985412403884,-0.0027061810841809315,0.026255837176418623,0.7142857142857143,True,1,CANDIDATE,train,,,,,,,
