component,standalone_AvgR,standalone_DeltaAvgR,retention
F_LOCATION_SCORE,0.006953244035963271,-0.0003179854413319647,0.7934482123110947
F_REACTION_SCORE,0.011947222793996865,0.004675993316701629,0.7039255436785846
F_TOTAL_EVIDENCE,0.013173017484662285,0.005901788007367049,0.35269996314043495
F_GOOD_LOCATION,-0.00012322319402649715,-0.007394452671321734,0.4551695539992628
F_ALIGNED_ACTIVE,0.006827183780129348,-0.00044404569716588807,0.6205307777368227
F_HTF_SUPPORT,-0.013684693281660094,-0.02095592275895533,0.4317176557316624
F_NO_HTF_CONTRA,-0.0034417853224205292,-0.010713014799715766,0.8373571691854036
F_FALSE_REV_LOW,0.007267929566353877,-3.2999109413588135e-06,0.9256819019535569
F_REVERSAL_STRONG,-0.005169377191004586,-0.012440606668299822,0.550359380759307
F_NO_PULLBACK,0.006328304564722942,-0.0009429249125722941,0.9319941024695909
F_HTF_LTF_AGREE,0.015801385542096036,0.0085301560648008,0.8632970880943605
F_CT_LOW,0.007271229477295236,0.0,1.0
F_M15_NOT_NEUTRAL,0.0030382811423577127,-0.004232948334937523,0.7275156653151493
F_M5_TRENDING,0.02439988509139295,0.017128655614097713,0.3212311094729082
F_M5_DIRECTION_ALIGN,0.033866985412403884,0.02659575593510865,0.27280685587910064
F_MARKET_REVERSAL,0.00913806722997065,0.0018668377526754138,0.30759307040176925
F_CONF_HIGH,0.0006064125294898571,-0.006664816947805379,0.7488481385919646
F_SB_WINDOW,0.01263347945142494,0.005362249974129704,0.1265204570586067
F_RTH,0.024481416746034802,0.017210187268739567,0.272852930335422
