timestamp,session,direction,original_decision,new_decision,original_action,new_action,range_atr_20,net_progress_20,total_path_20,directional_efficiency_20,overlap,sideways_wide_range,continuation_3_of_4,false_break,close_through,retest_hold,escape_state,original_R,new_R,original_usd,new_usd,review_group,tight_chop,prebreak_upper,prebreak_lower,retest_detected
2026-09-15 20:15 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,3.1579,2.5,63.0,0.0397,0.4289,False,True,False,False,False,TRENDING,-1.0,-1.0,-190.0,-190.0,A_3OF4_LOSER,False,29287.75,29257.75,False
2026-09-16 00:27 ET,globex,SHORT,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,3.0161,3.25,54.75,0.0594,0.437,False,True,False,False,False,TRENDING,2.0,2.0,222.14,222.14,OTHER,False,29340.5,29323.75,True
2026-09-16 00:50 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,4.0482,4.5,78.0,0.0577,0.3447,False,True,False,False,False,TRENDING,-1.0,-1.0,-118.57,-118.57,A_3OF4_LOSER,False,29322.75,29298.75,False
2026-09-16 01:55 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,4.3514,6.25,83.75,0.0746,0.3614,False,True,False,False,False,TRENDING,2.4432,2.4432,322.86,322.86,OTHER,False,29348.25,29319.5,False
2026-09-17 01:00 ET,globex,LONG,TAKE,TAKE,TAKE,TAKE,5.6491,13.0,63.5,0.2047,0.3689,False,False,False,False,False,TRENDING,-1.0,-1.0,-101.79,-101.79,B_MIXED_LOSER,False,29471.5,29442.75,False
2026-09-17 06:04 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,5.25,1.5,59.5,0.0252,0.3369,False,True,False,False,False,TRENDING,2.0,2.0,262.86,262.86,OTHER,False,29580.0,29545.5,False
2026-09-17 09:17 ET,globex,LONG,SKIP_NO_TREND,SKIP_NO_TREND,SKIP,SKIP,4.081,2.75,91.75,0.03,0.4379,False,False,False,False,False,TRENDING,-1.0,0.0,-176.43,0.0,B_MIXED_LOSER,False,29750.0,29714.0,False
2026-09-17 15:24 ET,rth,SHORT,TAKE,TAKE,TAKE,TAKE,4.3953,5.5,52.0,0.1058,0.4626,True,True,False,False,False,SIDEWAYS_WIDE_RANGE,2.0,2.0,184.29,184.29,OTHER,False,29751.0,29730.75,False
2026-09-17 18:52 ET,globex,SHORT,SKIP_NO_TREND,PASS_SIDEWAYS_WIDE_RANGE,SKIP,SKIP,3.1454,0.25,46.25,0.0054,0.4789,True,False,False,False,False,SIDEWAYS_WIDE_RANGE,-1.0,0.0,-81.07,0.0,B_MIXED_LOSER,False,29687.25,29674.5,False
2026-09-17 19:22 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,5.1449,0.5,49.5,0.0101,0.3867,False,True,False,False,False,TRENDING,-1.0,-1.0,-101.07,-101.07,A_3OF4_LOSER,False,29712.0,29686.0,False
2026-09-17 20:00 ET,globex,SHORT,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,3.4855,2.0,37.0,0.0541,0.4211,False,True,False,False,False,TRENDING,-1.0,-1.0,-86.07,-86.07,A_3OF4_LOSER,False,29705.0,29690.0,False
2026-09-17 20:20 ET,globex,SHORT,SKIP_NO_TREND,SKIP_NO_TREND,SKIP,SKIP,3.4068,3.5,105.5,0.0332,0.448,False,False,False,False,False,TRENDING,2.4335,0.0,457.14,0.0,C_MIXED_WINNER,False,29708.0,29676.0,False
2026-09-18 04:46 ET,globex,LONG,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,4.1887,5.0,67.5,0.0741,0.3961,False,True,True,False,False,TRENDING,-1.0,-1.0,-132.5,-132.5,A_3OF4_LOSER,False,29919.0,29892.0,False
2026-09-18 05:38 ET,globex,SHORT,TAKE,TAKE_EXISTING_CONTINUATION,TAKE,TAKE,5.7436,27.25,63.25,0.4308,0.3829,False,True,False,True,False,TRENDING,2.0,2.0,278.57,278.57,OTHER,False,29899.0,29862.75,True
2026-09-18 07:06 ET,globex,SHORT,TAKE,TAKE,TAKE,TAKE,4.3818,30.0,114.5,0.262,0.4536,False,False,False,True,False,TRENDING,-1.0,-1.0,-228.21,-228.21,D_WICK,False,29898.75,29860.75,True
2026-09-18 08:56 ET,globex,SHORT,TAKE,PASS_SIDEWAYS_WIDE_RANGE,TAKE,SKIP,3.7539,7.5,53.5,0.1402,0.5312,True,True,False,False,False,SIDEWAYS_WIDE_RANGE,2.0,0.0,226.43,0.0,OTHER,False,29795.5,29774.25,False
2026-09-18 14:18 ET,rth,LONG,TAKE,TAKE,TAKE,TAKE,4.106,7.0,46.5,0.1505,0.447,False,False,False,False,False,TRENDING,2.0,2.0,202.14,202.14,OTHER,False,29768.75,29748.0,False
2026-09-18 15:38 ET,rth,LONG,TAKE,TAKE,TAKE,TAKE,3.6471,1.5,44.0,0.0341,0.4878,True,True,False,False,False,SIDEWAYS_WIDE_RANGE,2.0,2.0,255.0,255.0,OTHER,False,29846.0,29822.75,False
