t,match,reason_a,reason_b,eff_a,eff_b,overlap_a,upper_a,upper_b,session
40,True,TAKE,TAKE,0.126154,0.126154,0.382736,29633.75,29633.75,globex
41,True,TAKE,TAKE,0.21547,0.21547,0.367955,29633.75,29633.75,globex
42,True,TAKE,TAKE,0.25,0.25,0.379614,29633.75,29633.75,globex
43,True,TAKE,TAKE,0.297935,0.297935,0.380053,29633.75,29633.75,globex
44,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.189504,0.189504,0.383489,29633.75,29633.75,globex
45,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.329759,0.329759,0.377891,29633.75,29633.75,globex
46,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.255696,0.255696,0.40785,29633.75,29633.75,globex
47,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.215,0.215,0.383209,29633.75,29633.75,globex
48,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.21197,0.21197,0.356597,29633.75,29633.75,globex
49,True,TAKE_EXISTING_CONTINUATION,TAKE_EXISTING_CONTINUATION,0.25537,0.25537,0.35125,29633.75,29633.75,globex
50,True,TAKE,TAKE,0.223022,0.223022,0.329136,29633.75,29633.75,globex
51,True,TAKE,TAKE,0.175355,0.175355,0.335715,29630.75,29630.75,globex
52,True,TAKE,TAKE,0.140741,0.140741,0.338471,29629.25,29629.25,globex
53,True,TAKE,TAKE,0.081794,0.081794,0.360013,29626.25,29626.25,globex
54,True,TAKE,TAKE,0.151515,0.151515,0.336138,29626.0,29626.0,globex
55,True,TAKE,TAKE,0.151515,0.151515,0.343223,29626.0,29626.0,globex
56,True,TAKE,TAKE,0.103448,0.103448,0.356679,29626.0,29626.0,globex
57,True,SKIP_NO_TREND,SKIP_NO_TREND,0.039773,0.039773,0.361848,29624.0,29624.0,globex
58,True,SKIP_NO_TREND,SKIP_NO_TREND,0.005882,0.005882,0.352146,29617.75,29617.75,globex
59,True,SKIP_NO_TREND,SKIP_NO_TREND,0.002967,0.002967,0.360746,29614.0,29614.0,globex
60,True,SKIP_LATE_MOVE,SKIP_LATE_MOVE,0.164474,0.164474,0.385749,29614.0,29614.0,globex
61,True,SKIP_NO_TREND,SKIP_NO_TREND,0.0301,0.0301,0.376956,29614.0,29614.0,globex
62,True,SKIP_NO_TREND,SKIP_NO_TREND,0.023256,0.023256,0.388057,29614.0,29614.0,globex
63,True,SKIP_NO_TREND,SKIP_NO_TREND,0.019868,0.019868,0.368132,29614.0,29614.0,globex
64,True,SKIP_LATE_MOVE,SKIP_LATE_MOVE,0.166667,0.166667,0.356884,29614.0,29614.0,globex
65,True,TAKE,TAKE,0.142857,0.142857,0.34122,29614.0,29614.0,globex
66,True,TAKE,TAKE,0.297959,0.297959,0.342201,29614.0,29614.0,globex
67,True,TAKE,TAKE,0.435484,0.435484,0.349421,29614.0,29614.0,globex
68,True,TAKE,TAKE,0.356223,0.356223,0.350591,29613.0,29613.0,globex
69,True,TAKE,TAKE,0.429752,0.429752,0.373573,29613.0,29613.0,globex
70,True,TAKE,TAKE,0.514894,0.514894,0.382345,29613.0,29613.0,globex
71,True,TAKE,TAKE,0.476793,0.476793,0.387838,29613.0,29613.0,globex
