bucket,n,wins,losses,AvgR,TotalR,PF,MaxDD,win_rate
baseline_all,37,15,22,0.3477,12.8658,1.5848,-7.5,0.4054
candidate_all,32,12,20,0.2458,7.8658,1.3933,-5.5,0.375
rejected_shadow,5,3,2,1.0,5.0,3.5,-2.0,0.6
baseline_LONG,19,7,12,0.2561,4.8658,1.4055,-4.0,0.3684
candidate_LONG,19,7,12,0.2561,4.8658,1.4055,-4.0,0.3684
baseline_SHORT,18,8,10,0.4444,8.0,1.8,-4.5,0.4444
candidate_SHORT,13,5,8,0.2308,3.0,1.375,-3.0,0.3846
baseline_RTH,13,5,8,0.2006,2.6076,1.3259,-4.0,0.3846
candidate_RTH,13,5,8,0.2006,2.6076,1.3259,-4.0,0.3846
baseline_globex,24,10,14,0.4274,10.2582,1.7327,-4.0,0.4167
candidate_globex,19,7,12,0.2767,5.2582,1.4382,-3.0,0.3684
