timestamp,direction,baseline_decision,baseline_reason,candidate_decision,candidate_reason,changed,pine_signal_id
2026-09-09T15:51:00-04:00,SHORT,SKIP,SKIP_FALSE_BREAK,SKIP,SKIP_FALSE_BREAK,False,2026-09-09T19:52:00Z
2026-09-10T10:07:00-04:00,SHORT,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T14:08:00Z
2026-09-10T10:20:00-04:00,LONG,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T14:21:00Z
2026-09-10T11:16:00-04:00,SHORT,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T15:17:00Z
2026-09-10T11:44:00-04:00,LONG,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T15:45:01Z
2026-09-10T12:01:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T16:02:00Z
2026-09-10T12:07:00-04:00,SHORT,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T16:08:00Z
2026-09-10T12:32:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T16:33:00Z
2026-09-10T12:38:00-04:00,SHORT,SKIP,SKIP_NO_TREND,SKIP,SKIP_NO_TREND,False,2026-09-10T16:39:00Z
2026-09-10T12:53:00-04:00,LONG,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T16:54:00Z
2026-09-10T14:26:00-04:00,SHORT,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T18:27:00Z
2026-09-10T14:45:00-04:00,SHORT,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T18:46:00Z
2026-09-10T15:15:00-04:00,SHORT,SKIP,SKIP_LATE_MOVE,SKIP,SKIP_LATE_MOVE,False,2026-09-10T19:16:00Z
2026-09-10T15:45:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T19:46:00Z
2026-09-10T15:55:00-04:00,SHORT,TAKE,TAKE,TAKE,TAKE,False,2026-09-10T19:56:00Z
2026-09-17T15:24:00-04:00,SHORT,TAKE,TAKE,TAKE,TAKE,False,2026-09-17T19:25:00Z
2026-09-18T14:18:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-18T18:19:00Z
2026-09-18T15:38:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-18T19:39:00Z
2026-09-21T10:11:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-21T14:12:00Z
2026-09-21T13:13:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-21T17:14:00Z
2026-09-21T13:30:00-04:00,LONG,TAKE,TAKE,TAKE,TAKE,False,2026-09-21T17:31:00Z
