gate_name,known_at_bar_offset,feeds_gate,notes
armed_long,0,armed_long,Recomputed from Pine GLD export (bar-close evaluation)
armed_short,0,armed_short,Recomputed from Pine GLD export (bar-close evaluation)
evidence_threshold_long,0,evidence_threshold_long,Recomputed from Pine GLD export (bar-close evaluation)
evidence_threshold_short,0,evidence_threshold_short,Recomputed from Pine GLD export (bar-close evaluation)
decide_e_long,0,decide_e_long,Recomputed from Pine GLD export (bar-close evaluation)
decide_e_short,0,decide_e_short,Recomputed from Pine GLD export (bar-close evaluation)
p4_keep_long,0,p4_keep_long,Recomputed from Pine GLD export (bar-close evaluation)
p4_keep_short,0,p4_keep_short,Recomputed from Pine GLD export (bar-close evaluation)
h1_keep_long,0,h1_keep_long,Recomputed from Pine GLD export (bar-close evaluation)
h1_keep_short,0,h1_keep_short,Recomputed from Pine GLD export (bar-close evaluation)
gate_open,0,gate_open,Recomputed from Pine GLD export (bar-close evaluation)
not_in_cooldown,0,not_in_cooldown,Recomputed from Pine GLD export (bar-close evaluation)
take_long,0,take_long,Recomputed from Pine GLD export (bar-close evaluation)
take_short,0,take_short,Recomputed from Pine GLD export (bar-close evaluation)
