time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1787917500000,29609.5,29615.0,29607.5,29610.75,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1787917500000,1,,3.0,0,1,0
1787917560000,29611.75,29613.5,29610.75,29612.0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1787917560000,1,,3.0,0,2,0
1787917620000,29612.75,29614.25,29609.5,29613.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917620000,1,,3.0,0,2,0
1787917680000,29612.25,29614.5,29608.25,29613.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917680000,1,,3.0,0,2,0
1787917740000,29612.5,29612.75,29609.75,29611.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917740000,1,,3.0,0,2,0
1787917800000,29612.0,29612.75,29606.75,29610.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917800000,1,,3.0,0,2,0
1787917860000,29611.0,29612.5,29606.0,29608.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917860000,1,,3.0,0,2,0
1787917920000,29608.5,29614.25,29604.0,29606.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917920000,1,,3.0,0,2,0
1787917980000,29605.75,29609.75,29604.75,29609.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787917980000,1,,3.0,0,2,0
1787918040000,29608.25,29613.25,29607.5,29611.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918040000,1,,3.0,0,2,0
1787918100000,29611.75,29611.75,29604.0,29606.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918100000,1,,3.0,0,2,0
1787918160000,29607.0,29610.5,29601.0,29602.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787918160000,1,,3.0,0,2,0
1787918220000,29603.5,29607.0,29597.5,29605.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787918220000,1,,3.0,0,2,0
1787918280000,29605.5,29606.25,29601.25,29604.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787918280000,1,,3.0,0,2,0
1787918340000,29605.75,29605.75,29601.75,29603.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918340000,1,,3.0,0,2,0
1787918400000,29601.5,29605.0,29600.5,29602.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918400000,1,,3.0,0,2,0
1787918460000,29602.25,29605.0,29600.25,29604.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918460000,1,,3.0,0,2,0
1787918520000,29605.25,29607.5,29597.5,29601.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918520000,1,,3.0,0,2,0
1787918580000,29601.5,29605.0,29599.75,29603.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918580000,1,,3.0,0,2,0
1787918640000,29605.5,29615.5,29605.0,29613.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918640000,1,,3.0,0,2,0
1787918700000,29613.5,29618.75,29611.75,29617.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918700000,1,,3.0,0,2,0
1787918760000,29618.25,29624.5,29618.25,29621.25,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1787918760000,1,,3.0,0,2,0
1787918820000,29622.25,29625.0,29621.0,29623.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918820000,1,,3.0,0,2,0
1787918880000,29623.75,29628.25,29622.25,29623.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918880000,1,,3.0,0,2,0
1787918940000,29623.5,29629.5,29621.5,29628.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787918940000,1,,3.0,0,2,0
1787919000000,29627.5,29629.0,29622.0,29623.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1787919000000,1,,3.0,0,2,0
1787919060000,29624.0,29624.25,29615.25,29619.75,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787919060000,1,,3.0,0,2,0
1787919120000,29618.0,29627.75,29616.0,29627.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787919120000,1,,3.0,0,2,0
1787919180000,29627.0,29627.25,29614.75,29625.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1787919180000,1,,3.0,0,2,0
1787919240000,29625.0,29632.5,29625.0,29630.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919240000,1,,3.0,0,2,0
1787919300000,29631.0,29634.5,29627.75,29633.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919300000,1,4.0,3.0,1,2,0
1787919360000,29632.5,29636.0,29632.25,29633.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919360000,1,4.0,3.0,1,2,0
1787919420000,29634.0,29636.5,29631.25,29633.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919420000,1,3.0,3.0,1,2,0
1787919480000,29633.25,29645.25,29632.75,29637.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919480000,1,5.0,3.0,1,2,0
1787919540000,29638.5,29643.25,29637.25,29638.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919540000,1,5.0,3.0,1,2,0
1787919600000,29640.5,29649.0,29640.25,29647.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919600000,1,5.0,3.0,2,2,0
1787919660000,29647.25,29653.0,29643.25,29651.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919660000,1,4.0,3.0,1,2,0
1787919720000,29652.0,29653.0,29648.75,29653.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919720000,1,4.0,3.0,1,2,0
1787919780000,29653.25,29659.25,29651.25,29658.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787919780000,1,4.0,3.0,1,2,0
1787919840000,29658.5,29660.75,29655.75,29657.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919840000,1,2.0,3.0,1,2,0
1787919900000,29657.5,29661.5,29653.0,29657.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919900000,1,2.0,3.0,1,2,0
1787919960000,29656.75,29659.75,29654.25,29657.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787919960000,1,3.0,3.0,1,2,0
1787920020000,29657.0,29657.0,29649.0,29649.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920020000,1,3.0,3.0,1,2,0
1787920080000,29649.75,29659.0,29648.75,29655.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920080000,1,3.0,3.0,1,2,0
1787920140000,29656.5,29663.0,29656.5,29661.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787920140000,1,4.0,3.0,1,2,0
1787920200000,29661.25,29661.75,29643.75,29646.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787920200000,1,4.0,3.0,1,2,0
1787920260000,29645.75,29646.75,29634.25,29637.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787920260000,1,4.0,3.0,1,2,0
1787920320000,29637.5,29640.25,29631.75,29634.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920320000,1,3.0,3.0,1,2,0
1787920380000,29634.25,29638.25,29634.0,29637.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787920380000,1,6.0,3.0,1,2,0
1787920440000,29636.75,29637.5,29628.5,29628.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920440000,1,3.0,3.0,1,2,0
1787920500000,29628.75,29630.5,29615.25,29619.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920500000,1,3.0,3.0,1,2,0
1787920560000,29617.75,29625.5,29615.0,29625.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920560000,1,3.0,3.0,2,2,0
1787920620000,29624.75,29630.0,29624.0,29627.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920620000,1,3.0,3.0,2,2,0
1787920680000,29628.0,29637.25,29627.25,29637.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1787920680000,1,6.0,3.0,1,2,0
1787920740000,29636.5,29637.75,29629.5,29632.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920740000,1,2.0,3.0,1,2,0
1787920800000,29633.5,29634.25,29630.5,29631.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1787920800000,1,3.0,3.0,1,2,0
