time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1782875700000,30461.75,30463.0,30459.0,30461.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782875700000,1,3.0,,1,0,0
1782875760000,30461.0,30466.0,30451.25,30452.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782875760000,1,4.0,,1,0,0
1782875820000,30451.0,30452.25,30443.5,30444.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782875820000,1,3.0,,1,0,0
1782875880000,30442.5,30447.25,30435.75,30446.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782875880000,1,4.0,,1,0,0
1782875940000,30447.0,30450.75,30443.5,30447.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782875940000,1,5.0,,1,0,0
1782876000000,30447.5,30448.0,30440.75,30445.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876000000,1,3.0,,1,0,0
1782876060000,30446.0,30447.75,30437.0,30438.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876060000,1,3.0,,1,0,0
1782876120000,30437.75,30440.0,30434.5,30435.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876120000,1,4.0,,1,0,0
1782876180000,30435.25,30441.0,30434.75,30436.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876180000,1,4.0,,1,0,0
1782876240000,30437.75,30438.5,30431.75,30435.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876240000,1,4.0,,1,0,0
1782876300000,30434.75,30437.25,30429.5,30436.75,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876300000,1,4.0,,2,0,0
1782876360000,30437.0,30445.5,30436.25,30436.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876360000,1,4.0,,2,0,0
1782876420000,30436.25,30437.25,30433.0,30437.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876420000,1,4.0,,2,0,0
1782876480000,30438.25,30442.5,30437.0,30438.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876480000,1,4.0,,2,0,0
1782876540000,30437.0,30441.0,30435.0,30437.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876540000,1,4.0,,2,0,0
1782876600000,30439.5,30446.0,30437.75,30443.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876600000,1,4.0,,2,0,0
1782876660000,30443.5,30444.5,30431.75,30434.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876660000,1,4.0,,2,0,0
1782876720000,30435.25,30439.25,30433.0,30438.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876720000,1,5.0,,1,0,0
1782876780000,30438.75,30448.0,30438.75,30443.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876780000,1,4.0,,1,0,0
1782876840000,30443.0,30444.75,30438.5,30442.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876840000,1,3.0,,1,0,0
1782876900000,30443.75,30456.0,30443.75,30455.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782876900000,1,3.0,,2,0,0
1782876960000,30455.0,30461.75,30454.0,30459.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782876960000,1,5.0,,1,0,0
1782877020000,30459.25,30465.0,30457.25,30457.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877020000,1,4.0,,1,0,0
1782877080000,30457.25,30465.5,30454.5,30459.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877080000,1,5.0,,1,0,0
1782877140000,30458.75,30465.75,30458.75,30464.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877140000,1,4.0,,1,0,0
1782877200000,30463.0,30468.0,30459.75,30464.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782877200000,1,2.0,,1,0,0
1782877260000,30463.0,30467.25,30456.5,30459.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877260000,1,4.0,,1,0,0
1782877320000,30456.25,30456.25,30447.5,30449.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782877320000,1,3.0,,1,0,0
1782877380000,30447.75,30454.5,30447.75,30453.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877380000,1,4.0,,1,0,0
1782877440000,30452.25,30453.0,30446.0,30448.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877440000,1,4.0,,1,0,0
1782877500000,30450.25,30456.5,30449.75,30453.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877500000,1,6.0,,1,0,0
1782877560000,30454.5,30464.75,30454.5,30463.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877560000,1,4.0,,1,0,0
1782877620000,30464.0,30469.5,30464.0,30466.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877620000,1,4.0,,1,0,0
1782877680000,30465.25,30466.5,30463.0,30465.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782877680000,1,2.0,,1,0,0
1782877740000,30464.5,30469.75,30464.5,30468.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877740000,1,4.0,,1,0,0
1782877800000,30468.75,30473.25,30467.75,30472.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782877800000,1,4.0,,2,0,0
1782877860000,30471.25,30475.5,30470.0,30473.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877860000,1,4.0,,1,0,0
1782877920000,30474.25,30477.75,30473.0,30473.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782877920000,1,2.0,,1,0,0
1782877980000,30473.25,30474.75,30470.75,30470.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782877980000,1,4.0,,1,0,0
1782878040000,30471.5,30473.0,30469.75,30470.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878040000,1,4.0,,1,0,0
1782878100000,30469.75,30470.0,30461.0,30466.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878100000,1,4.0,,1,0,0
1782878160000,30466.0,30469.0,30464.25,30469.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878160000,1,5.0,,1,0,0
1782878220000,30469.5,30469.5,30466.25,30469.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878220000,1,5.0,,1,0,0
1782878280000,30467.5,30469.25,30466.0,30466.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782878280000,1,3.0,,1,0,0
1782878340000,30466.5,30469.25,30465.5,30467.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878340000,1,4.0,,1,0,0
1782878400000,30467.25,30467.5,30454.25,30455.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1782878400000,1,3.0,,1,0,0
1782878460000,30454.0,30454.75,30446.75,30448.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1782878460000,1,4.0,,1,0,0
1782878520000,30449.75,30450.25,30442.0,30443.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782878520000,1,4.0,,2,0,0
1782878580000,30443.25,30447.5,30442.25,30446.0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1782878580000,1,4.0,2.0,2,1,0
1782878640000,30446.0,30453.75,30446.0,30452.25,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1782878640000,1,4.0,2.0,2,2,0
1782878700000,30451.25,30456.25,30451.0,30453.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1782878700000,1,4.0,2.0,2,2,0
1782878760000,30455.0,30455.75,30448.75,30449.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1782878760000,1,4.0,2.0,2,2,0
1782878820000,30449.75,30458.75,30447.75,30454.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782878820000,1,4.0,2.0,2,2,0
1782878880000,30453.5,30454.75,30450.5,30453.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782878880000,1,4.0,2.0,2,2,0
1782878940000,30452.25,30453.25,30449.25,30451.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782878940000,1,4.0,2.0,2,2,0
1782879000000,30451.0,30454.5,30447.5,30447.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782879000000,1,4.0,2.0,2,2,0
1782879060000,30449.75,30450.0,30445.5,30447.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879060000,1,4.0,4.0,2,1,0
1782879120000,30447.0,30448.75,30443.25,30445.5,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1782879120000,1,4.0,3.0,2,1,0
1782879180000,30445.5,30447.0,30440.5,30440.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879180000,1,4.0,4.0,2,1,0
1782879240000,30441.75,30441.75,30433.25,30437.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782879240000,1,4.0,4.0,2,2,0
1782879300000,30436.5,30440.0,30431.0,30438.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879300000,1,4.0,5.0,2,1,0
1782879360000,30438.5,30441.75,30436.0,30439.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879360000,1,4.0,5.0,2,1,0
1782879420000,30438.5,30439.5,30431.25,30437.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879420000,1,4.0,7.0,2,1,0
1782879480000,30435.75,30439.5,30434.5,30434.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879480000,1,4.0,5.0,2,1,0
1782879540000,30435.25,30437.25,30435.0,30436.0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1782879540000,1,4.0,3.0,2,1,0
1782879600000,30435.5,30439.75,30429.0,30439.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879600000,1,4.0,5.0,2,1,0
1782879660000,30438.0,30438.0,30434.5,30436.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879660000,1,4.0,5.0,2,1,0
1782879720000,30439.0,30445.75,30438.0,30442.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879720000,1,4.0,4.0,2,1,0
1782879780000,30442.75,30449.75,30441.5,30444.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879780000,1,4.0,4.0,2,1,0
1782879840000,30444.25,30453.5,30442.0,30442.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879840000,1,4.0,5.0,2,1,0
1782879900000,30442.5,30444.75,30439.0,30442.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879900000,1,4.0,4.0,2,1,0
1782879960000,30441.5,30446.25,30441.25,30446.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782879960000,1,4.0,4.0,2,1,0
1782880020000,30448.25,30454.25,30445.25,30451.25,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1782880020000,1,4.0,3.0,2,1,0
1782880080000,30450.25,30456.0,30447.25,30451.5,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1782880080000,1,4.0,3.0,2,1,0
1782880140000,30452.0,30454.25,30451.0,30451.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1782880140000,1,4.0,6.0,2,1,0
1782880200000,30452.25,30456.75,30449.75,30451.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782880200000,1,4.0,6.0,2,2,0
1782880260000,30452.25,30456.25,30451.25,30452.75,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782880260000,1,4.0,6.0,2,2,0
1782880320000,30451.5,30456.75,30449.25,30455.75,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1782880320000,1,4.0,6.0,2,2,0
1782880380000,30455.5,30455.75,30450.25,30453.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1782880380000,1,4.0,6.0,2,2,0
1782880440000,30452.0,30456.25,30451.75,30454.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1782880440000,1,4.0,6.0,2,2,0
1782880500000,30453.75,30453.75,30443.25,30443.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782880500000,1,4.0,6.0,2,2,0
1782880560000,30442.75,30444.0,30432.75,30442.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782880560000,1,4.0,6.0,2,2,0
1782880620000,30442.25,30443.75,30437.0,30438.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1782880620000,1,4.0,6.0,2,2,0
1782880680000,30441.25,30447.0,30441.0,30445.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782880680000,1,4.0,6.0,2,2,0
1782880740000,30445.25,30446.25,30438.25,30440.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1782880740000,1,4.0,6.0,2,2,0
