time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1506895200000,5984.0,5985.25,5982.25,5985.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895200000,0,,,0,0,1
1506895260000,5984.75,5986.5,5983.25,5985.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895260000,0,,,0,0,1
1506895320000,5985.5,5986.0,5983.75,5984.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895320000,0,,,0,0,1
1506895380000,5984.25,5985.0,5984.25,5985.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895380000,0,,,0,0,1
1506895440000,5985.25,5985.25,5984.75,5984.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895440000,0,,,0,0,1
1506895500000,5984.75,5984.75,5984.5,5984.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895500000,0,,,0,0,1
1506895560000,5984.75,5985.0,5984.75,5984.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895560000,0,,,0,0,1
1506895620000,5984.75,5985.0,5984.75,5985.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895620000,0,,,0,0,1
1506895680000,5985.0,5986.25,5985.0,5986.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895680000,0,,,0,0,1
1506895740000,5986.0,5986.5,5986.0,5986.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895740000,0,,,0,0,1
1506895800000,5986.0,5986.5,5986.0,5986.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895800000,0,,,0,0,1
1506895860000,5986.5,5988.25,5986.5,5988.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895860000,0,,,0,0,1
1506895920000,5988.0,5991.25,5988.0,5991.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895920000,0,,,0,0,1
1506895980000,5991.25,5995.5,5991.25,5994.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506895980000,0,,,0,0,1
1506896040000,5995.0,5996.75,5994.75,5995.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896040000,0,,,0,0,1
1506896100000,5995.25,5995.25,5993.0,5993.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896100000,0,,,0,0,1
1506896160000,5993.75,5993.75,5991.5,5991.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896160000,0,,,0,0,1
1506896220000,5992.0,5992.25,5991.0,5992.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896220000,0,,,0,0,1
1506896280000,5992.25,5992.5,5992.25,5992.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896280000,0,,,0,0,1
1506896340000,5992.5,5998.0,5991.75,5997.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896340000,0,,,0,0,1
1506896400000,5997.5,5999.5,5997.0,5999.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896400000,0,,,0,0,1
1506896460000,5999.25,5999.5,5997.0,5997.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896460000,0,,,0,0,1
1506896520000,5997.0,5997.75,5995.75,5997.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896520000,0,,,0,0,1
1506896580000,5997.75,5997.75,5996.25,5996.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896580000,0,,,0,0,1
1506896640000,5996.25,5997.0,5994.5,5995.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896640000,0,,,0,0,1
1506896700000,5995.0,5997.75,5993.75,5995.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896700000,0,,,0,0,1
1506896760000,5995.25,5995.75,5994.5,5995.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896760000,0,,,0,0,1
1506896820000,5995.75,5995.75,5995.0,5995.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896820000,0,,,0,0,1
1506896880000,5995.25,5995.75,5995.0,5995.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896880000,0,,,0,0,1
1506896940000,5995.75,5997.75,5995.75,5996.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506896940000,0,,,0,0,1
1506897000000,5996.75,5996.75,5993.5,5994.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897000000,0,,,0,0,1
1506897060000,5994.5,5994.5,5993.75,5994.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897060000,0,,,0,0,1
1506897120000,5994.0,5994.25,5993.5,5994.0,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897120000,0,,,0,0,1
1506897180000,5994.25,5994.5,5994.25,5994.5,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897180000,0,,,0,0,1
1506897240000,5994.25,5994.5,5994.0,5994.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897240000,0,,,0,0,1
1506897300000,5994.5,5994.5,5994.0,5994.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897300000,0,,,0,0,1
1506897360000,5994.0,5994.25,5993.75,5993.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897360000,0,,,0,0,1
1506897420000,5993.75,5994.0,5991.75,5992.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897420000,0,,,0,0,1
1506897480000,5992.25,5992.75,5992.0,5992.25,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897480000,0,,,0,0,1
1506897540000,5992.0,5993.75,5992.0,5993.75,0,0,,,0,0,1,1,1,1,1,1,0,0,1506897540000,0,,,0,0,1
